state,region,keyword,volume,Apr-19,Aug-19,Dec-19,Feb-20,Jan-20,Jul-19,Jun-19,Mar-20,May-19,Nov-19,Oct-19,Sep-19
Alaska,West,acerolas,10,10,10,10,10,10,10,10,10,10,10,0,10
Alaska,West,apples,9900,6600,14800,9900,6600,6600,6600,6600,8100,6600,9900,9900,22200
Alaska,West,apricots,170,170,210,110,140,110,210,170,140,170,140,170,170
Alaska,West,avocados,720,880,720,590,720,880,590,590,590,720,590,720,590
Alaska,West,bananas,880,1000,880,720,880,880,720,720,880,880,880,880,720
Alaska,West,blackberries,590,720,880,390,390,480,880,720,390,590,480,880,720
Alaska,West,blueberries,480,390,880,320,390,320,720,480,390,480,320,320,480
Alaska,West,cantaloupes,260,320,260,210,170,210,320,320,260,260,210,170,210
Alaska,West,cherries,210,170,260,210,210,260,320,210,210,210,210,210,170
Alaska,West,coconuts,260,210,260,320,210,320,320,210,260,210,210,260,260
Alaska,West,figs,590,390,590,590,590,590,590,480,590,480,720,590,590
Alaska,West,grapefruits,210,170,170,170,260,320,210,170,210,210,170,170,140
Alaska,West,grapes,210,210,170,170,170,210,140,210,170,170,260,210,210
Alaska,West,guava,260,260,210,260,260,260,260,260,260,210,210,210,170
Alaska,West,kiwifruit,50,70,50,40,50,50,50,70,50,70,40,50,40
Alaska,West,lemons,320,320,320,320,320,390,320,390,480,390,320,320,320
Alaska,West,limes,170,170,170,140,140,140,170,140,210,170,140,140,170
Alaska,West,mangos,480,590,480,480,480,480,480,480,590,480,590,480,480
Alaska,West,olives,210,320,210,170,170,170,210,210,170,260,210,170,210
Alaska,West,oranges,590,590,480,720,720,590,480,480,590,590,720,720,590
Alaska,West,passionfruit,320,260,320,320,320,320,320,320,320,260,320,320,260
Alaska,West,peaches,390,390,390,480,320,390,390,390,590,390,480,390,390
Alaska,West,pears,170,170,140,140,170,140,110,110,170,140,170,210,210
Alaska,West,pineapples,720,880,720,590,590,590,720,720,720,720,720,720,720
Alaska,West,plums,140,110,210,110,110,110,210,170,140,140,110,170,210
Alaska,West,pomegranates,390,210,260,720,320,390,210,210,210,260,720,480,320
Alaska,West,raspberries,320,260,480,210,210,210,720,390,260,320,210,210,320
Alaska,West,strawberries,480,590,480,390,590,480,480,590,590,590,390,390,390
Alaska,West,tomatoes,320,390,390,260,320,320,320,320,390,390,320,320,480
Alaska,West,watermelons,390,320,480,260,320,260,480,590,480,480,260,260,320
Alabama,South,acerolas,10,10,10,10,10,10,10,10,10,10,10,10,10
Alabama,South,apples,60500,33100,135000,74000,40500,49500,40500,40500,49500,40500,60500,49500,165000
Alabama,South,apricots,1000,1000,1300,880,1000,1000,1300,1300,1000,880,720,880,1000
Alabama,South,avocados,4400,5400,4400,3600,5400,5400,4400,4400,4400,5400,3600,4400,4400
Alabama,South,bananas,5400,5400,5400,4400,6600,6600,5400,5400,6600,5400,5400,5400,5400
Alabama,South,blackberries,3600,4400,2900,2400,2900,2900,2900,3600,5400,3600,2900,3600,4400
Alabama,South,blueberries,1900,2400,1900,1300,2400,2400,2400,2900,2400,2400,1600,1600,1600
Alabama,South,cantaloupes,1600,1600,1600,880,1300,1300,2400,2400,1600,1900,880,1000,1300
Alabama,South,cherries,1600,1300,1600,1600,1600,1600,2400,1600,1600,1600,1300,1300,1300
Alabama,South,coconuts,1600,1300,1600,1600,1600,1600,3600,1300,1600,1300,1600,1300,1600
Alabama,South,figs,3600,2400,4400,3600,3600,3600,5400,2900,3600,2900,3600,3600,3600
Alabama,South,grapefruits,1300,1000,1300,1000,1600,1600,1300,1300,1300,1300,1000,1000,1000
Alabama,South,grapes,1600,1600,1600,1300,1900,1900,1600,1600,1900,1600,1600,1900,1900
Alabama,South,guava,1300,1600,1300,1300,1600,1300,1600,1600,1600,1300,1000,1300,1300
Alabama,South,kiwifruit,320,390,320,260,320,320,390,480,390,480,320,260,260
Alabama,South,lemons,2400,2400,2400,1900,2900,2400,2400,2900,2900,2900,1900,1900,2400
Alabama,South,limes,1000,1300,1000,880,1300,1000,1300,1300,1600,1300,880,1000,1000
Alabama,South,mangos,4400,4400,3600,3600,5400,4400,4400,4400,5400,4400,3600,4400,3600
Alabama,South,olives,1000,1000,880,1300,1300,1300,880,880,1000,880,1000,1000,1000
Alabama,South,oranges,4400,3600,4400,4400,5400,4400,3600,3600,5400,3600,4400,5400,4400
Alabama,South,passionfruit,1600,1600,1900,1000,1900,1600,1900,1900,1600,1900,1300,1300,1900
Alabama,South,peaches,2900,2400,2900,2900,3600,2900,2900,2900,4400,2900,2400,2900,2900
Alabama,South,pears,1000,1300,1300,1000,1300,1300,880,1000,1300,880,1000,1300,1300
Alabama,South,pineapples,4400,5400,5400,3600,4400,4400,5400,6600,4400,5400,3600,4400,4400
Alabama,South,plums,1000,1000,1300,880,1000,720,1300,1300,1000,1300,880,1000,1300
Alabama,South,pomegranates,2400,1900,1900,2900,2900,2900,1900,1900,1900,1900,3600,2900,2400
Alabama,South,raspberries,1000,1300,1000,880,1300,1000,1300,1600,1300,1300,880,1000,880
Alabama,South,strawberries,3600,4400,3600,2400,5400,4400,3600,4400,4400,4400,2400,2900,2900
Alabama,South,tomatoes,2400,2900,2400,1900,2900,2400,2900,2900,2900,2900,2400,2400,2400
Alabama,South,watermelons,3600,2900,4400,1600,2400,1900,5400,6600,3600,4400,1900,2400,2900
Arkansas,South,acerolas,10,10,10,10,10,10,10,10,0,10,10,10,10
Arkansas,South,apples,33100,18100,74000,33100,22200,22200,18100,22200,22200,18100,33100,27100,90500
Arkansas,South,apricots,590,590,720,590,590,590,720,720,590,590,590,480,590
Arkansas,South,avocados,2900,2900,2900,1900,2900,3600,2900,2900,2900,2900,2400,2400,2400
Arkansas,South,bananas,2900,3600,2900,2900,3600,3600,2900,2900,3600,2900,2900,2900,2900
Arkansas,South,blackberries,1600,1900,1600,1300,1300,1600,1900,2400,1300,2400,1300,1900,1600
Arkansas,South,blueberries,1300,1300,1000,880,1300,1300,1300,1900,1300,1600,880,880,1000
Arkansas,South,cantaloupes,880,880,1300,480,720,720,1600,1600,880,1000,480,590,880
Arkansas,South,cherries,880,720,880,720,880,880,1300,1000,1000,880,720,720,720
Arkansas,South,coconuts,880,880,880,880,720,880,1600,720,880,880,880,880,880
Arkansas,South,figs,1900,1600,2900,2400,1900,1900,2400,1900,2400,1600,2400,1900,1900
Arkansas,South,grapefruits,720,720,720,720,880,1000,720,720,880,720,720,590,720
Arkansas,South,grapes,880,880,1000,720,880,880,1000,880,880,880,880,1000,1000
Arkansas,South,guava,880,1000,880,720,880,880,880,880,880,880,880,720,720
Arkansas,South,kiwifruit,210,260,170,140,210,210,260,320,210,260,170,140,170
Arkansas,South,lemons,1300,1600,1300,1000,1300,1300,1600,1600,1600,1600,1000,1000,1300
Arkansas,South,limes,720,880,720,590,720,720,880,880,880,720,590,720,720
Arkansas,South,mangos,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,1900,2400
Arkansas,South,olives,480,480,480,590,590,590,480,480,590,480,480,590,590
Arkansas,South,oranges,2400,2400,2400,2400,2900,2900,2400,2400,2900,2400,2400,2400,2400
