source,target,volume
vitamin c,vitamin shoppe,673000
vitamin c,vitamin d,368000
vitamin c,vitamin b12,246000
vitamin c,niacin,165000
vitamin c,prenatal vitamins,165000
vitamin c,vitamin,165000
vitamin c,vitamin d deficiency,165000
vitamin c,vitamin d3,110000
vitamin c,vitamin supplements,110000
vitamin c,vitamin e,110000
vitamin c,multivitamin,90500
vitamin c,vitamin a,90500
vitamin c,vitamin k,90500
vitamin c,the vitamin shoppe,90500
vitamin c,vitamin b6,74000
vitamin c,swanson vitamins,74000
vitamin c,vitamin e oil,60500
vitamin c,iron supplements,60500
vitamin c,vitamin b,60500
vitamin c,vitamin water,60500
vitamin c,ascorbic acid,49500
vitamin c,fiber supplement,49500
vitamin c,magnesium supplements,49500
vitamin c,vitamin b complex,49500
vitamin c,hair vitamins,49500
vitamin c,vitamin world,49500
vitamin c,vitamin b12 deficiency,49500
vitamin c,vitamin c foods,40500
vitamin c,vitamins for women,40500
vitamin c,vitamin k2,40500
acknowledgement,abominable,673000
acknowledgement,acquitted,246000
acknowledgement,accept,201000
acknowledgement,accommodation,165000
acknowledgement,acrimony,165000
acknowledgement,acoustic,165000
acknowledgement,abbreviation,135000
acknowledgement,acquaintance,135000
acknowledgement,acceleration,135000
acknowledgement,notary public,110000
acknowledgement,affidavit,110000
acknowledgement,acquisition,110000
acknowledgement,accrue,110000
acknowledgement,acquiesce,110000
acknowledgement,achieve,110000
acknowledgement,adequate,110000
acknowledgement,affiliation,90500
acknowledgement,abduction,90500
acknowledgement,active,74000
acknowledgement,admonish,74000
acknowledgement,abdicate,74000
acknowledgement,accreditation,60500
acknowledgement,achievement,60500
acknowledgement,acclimate,60500
acknowledgement,accused,60500
acknowledgement,abhor,60500
acknowledgement,accumulate,60500
acknowledgement,accompany,49500
acknowledgement,absurd,49500
acknowledgement,abridged,49500
acetone,isopropyl alcohol,301000
acetone,acoustic,165000
acetone,ethanol,135000
acetone,hydrochloric acid,110000
acetone,acquisition,110000
acetone,achieve,110000
acetone,acquiesce,110000
acetone,methanol,74000
acetone,accreditation,60500
acetone,accumulate,60500
acetone,nail polish remover,49500
acetone,benzene,49500
acetone,toluene,40500
acetone,ethyl acetate,33100
acetone,accustomed,33100
acetone,accosted,33100
acetone,acerbic,27100
acetone,xylene,22200
acetone,acetone structure,22200
acetone,acetone nail polish remover,18100
acetone,cyclohexane,18100
acetone,methylene chloride,18100
acetone,acetophenone,12100
acetone,heptane,9900
acetone,acetonitrile,9900
acetone,cyclohexanone,8100
acetone,acetanilide,8100
acetone,accusatory,8100
acetone,pure acetone,5400
acetone,100 acetone,5400
acceleration,abominable,673000
acceleration,accept,201000
acceleration,speed,165000
acceleration,abstract,165000
acceleration,acoustic,165000
acceleration,abbreviation,135000
acceleration,abundance,110000
acceleration,acquisition,110000
acceleration,acquiesce,110000
acceleration,achieve,110000
acceleration,accent,90500
acceleration,torque,74000
acceleration,accidentally,74000
acceleration,acceleration formula,60500
acceleration,velocity formula,60500
acceleration,accreditation,60500
acceleration,acclimate,60500
acceleration,accumulate,60500
acceleration,absurd,49500
acceleration,abridged,49500
acceleration,abscond,49500
acceleration,abrupt,49500
acceleration,accentuate,40500
acceleration,abnormal,40500
acceleration,abstain,40500
acceleration,accustomed,33100
acceleration,accosted,33100
acceleration,acceleration definition,22200
acceleration,accelerometer,18100
acceleration,accel,18100
