link,headline
b'https://www.healthline.com/nutrition/12-proven-benefits-of-avocado',b'12 Proven Health Benefits of Avocado'
b'https://www.medicalnewstoday.com/articles/270406',b'12 health benefits of avocado'
b'https://avocadosfrommexico.com/',"b'Avocados From Mexico | Avocado Nutrition, Recipes, & Cooking Tips'"
b'https://www.webmd.com/food-recipes/all-about-avocados',b'Everything You Need to Know About Avocados'
b'https://en.wikipedia.org/wiki/Avocado',b'Avocado - Wikipedia'
b'https://www.youtube.com/watch?v=GZwbhgS9fuc',b'Why Avocados Are So Expensive | So Expensive - YouTube'
b'https://cleananddelicious.com/avocado-101/',b'Avocado 101 | Everything You Need To Know \xc2\xab Clean & Delicious'
b'https://www.avocadoseats.com/',b'Avocados Restaurant'
b'http://www.avocadosandcoconuts.com/',b'Avocados & Coconuts'
b'https://www.brit.co/avocados/',b'13 Ways You Never Thought to Eat an Avocado - Brit + Co'
b'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3664913/',b'Hass Avocado Composition and Potential Health Effects'
b'https://www.californiaavocado.com/nutrition',b'Avocado Nutrition: All About the Health Benefits of Avocado'
b'https://avocadosmexican.com/',b'Avocados Mexican Restaurant \xe2\x80\x93 Healthy & Fresh Mexican Food'
b'http://www.whfoods.com/genpage.php?tname=foodspice&dbid=5',b'Avocados'
b'https://www.nytimes.com/2020/03/02/opinion/avocados-drug-cartels-mexico.html',"b""Opinion | Boycotting Avocados Won't Hurt Cartels - The New York ..."""
b'https://www.consumerreports.org/nutrition-healthy-eating/are-avocados-good-for-you/',b'Are Avocados Good for You? - Consumer Reports'
b'https://www.grubstreet.com/2015/04/end-of-avocados.html',b'Have You Eaten Your Last Avocado?'
b'https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1843/2',"b'Avocados, raw, all commercial varieties Nutrition Facts & Calories'"
b'https://www.californiaavocado.com/',"b'California Avocados - Nutrition, Recipes, Facts & More'"
b'https://www.cnn.com/2017/12/08/health/avocados-health-benefits-food-as-fuel-explainer/index.html',b'Avocados: An unlikely but legitimate healthy food craze - CNN'
b'https://www.akc.org/expert-advice/nutrition/can-dogs-eat-avocado/',b'Can Dogs Eat Avocado? Are Avocados Bad for Dogs?'
b'https://www.greenfruitavocados.com/',b'GreenFruit Avocados | The Perfect Avocado'
b'https://snaped.fns.usda.gov/seasonal-produce-guide/avocados',b'Avocados | SNAP-Ed'
b'https://www.theguardian.com/commentisfree/2016/aug/12/hispters-handle-unpalatable-truth-avocado-toast',b'Can hipsters stomach the unpalatable truth about avocado toast ...'
b'https://www.heb.com/category/shop/fruit-vegetables/vegetables/avocados/490083/490343',b'Avocados - Shop H-E-B Everyday Low Prices'
b'https://www.fda.gov/food/sampling-protect-food-supply/microbiological-surveillance-sampling-fy14-16-whole-fresh-avocados',b'Microbiological Surveillance Sampling: FY14-16 Whole Fresh ...'
b'https://cookieandkate.com/avocado-toast-recipe/',b'Avocado Toast Recipe (Plus Tips & Variations) - Cookie and Kate'
b'https://www.amazon.com/Absolutely-Avocados-Gaby-Dalkin/dp/1118412117',"b'Absolutely Avocados: Dalkin, Gaby: 9781118412114: Amazon.com ...'"
b'https://www.washingtonpost.com/news/wonk/wp/2015/01/22/the-sudden-rise-of-the-avocado-americas-new-favorite-fruit/',"b""The rise of the avocado, America's new favorite fruit - The ..."""
b'https://www.livescience.com/45209-avocado-nutrition-facts.html',"b'Avocados: Health Benefits, Risks & Nutrition Facts | Live Science'"
b'https://www.samsclub.com/p/avocados-5-ct/163647',"b""Avocados (5 ct.) - Sam's Club"""
b'https://www.foodrepublic.com/2012/10/18/know-your-avocado-varieties-and-when-theyre-in-season/',"b""Know Your Avocado Varieties And When They're In Season - Food ..."""
b'https://vimeo.com/avocadosandcoconuts',b'Avocados and Coconuts on Vimeo'
b'https://www.curbed.com/2018/5/15/17345156/avocado-toast-millennials-cant-afford-homes-tim-gurner',"b'Avocado toast homeownership meme, explained - Curbed'"
b'https://www.avocadosfromperu.com/',b'Avocados from Peru | Monumental FlavorAvocados From Peru | The ...'
b'https://www.npr.org/sections/thesalt/2019/07/25/744974228/holy-guacamole-avocados-are-pricey-and-its-the-pits',"b""Holy Guacamole! Avocados Are Pricey And It's The Pits : The Salt ..."""
b'https://www.target.com/p/avocado-each/-/A-47095644',b'Avocado - Each : Target'
b'https://www.shortstackeditions.com/products/vol-25-avocados-by-katie-quinn',b'Vol 25: Avocados (By Katie Quinn) | Short Stack Editions'
b'https://fsi.colostate.edu/avocados/',b'Avocados | Food Source Information'
b'https://www.threeavocados.org/',b'Three Avocados Coffee: Three Avocados - A Non-Profit Coffee ...'
b'https://www.nbcnews.com/business/business-news/america-would-run-out-avocados-three-weeks-if-trump-shuts-n989421',b'America would run out of avocados in three weeks if Trump shuts ...'
b'https://www.californiaavocadosdirect.com/',b'Fresh Avocados from California Avocados Direct.com - California ...'
b'https://www.newyorkjets.com/news/jets-announce-partnership-with-avocados-from-peru',b'Jets Announce Partnership with Avocados from Peru'
