link,headline
b'https://en.wikipedia.org/wiki/Banana',b'Banana - Wikipedia'
b'https://www.medicalnewstoday.com/articles/271157',"b'Bananas: Health benefits, tips, and risks'"
b'https://bananasbunch.org/',b'Bananas - Child care referrals and resources'
b'https://www.healthline.com/nutrition/11-proven-benefits-of-bananas',b'11 Evidence-Based Health Benefits of Bananas'
b'https://www.livescience.com/45005-banana-nutrition-facts.html',"b'Bananas: Health Benefits, Risks & Nutrition Facts | Live Science'"
b'https://www.youtube.com/watch?v=ex0URF-hWj4',b'The Terrifying Truth About Bananas - YouTube'
b'https://www.hsph.harvard.edu/nutritionsource/food-features/bananas/',b'Bananas | The Nutrition Source | Harvard T.H. Chan School of ...'
b'https://www.consumerreports.org/fruits-vegetables/are-bananas-good-for-you/',b'Are Bananas Good for You? - Consumer Reports'
b'https://www.bananas.com/',b'Bananas at Large | Musical Instruments & Pro Audio Since 1974 ...'
b'https://www.healthxchange.sg/food-nutrition/food-tips/good-reasons-eat-banana-today',b'Bananas'
b'https://www.snopes.com/fact-check/bananas-coronavirus/',b'Will Eating Bananas Prevent Coronavirus Infection?'
b'https://www.imdb.com/title/tt0066808/',b'Bananas (1971) - IMDb'
b'https://www.ncbi.nlm.nih.gov/pubmed/22616015',b'Bananas as an energy source during exercise: a metabolomics ...'
b'http://bananashairdesign.com/',"b""Home - Banana's Hair Design | Full Service Hair Salon | College Park"""
b'https://thesavannahbananas.com/',b'The Savannah Bananas'
b'https://www.caviarandbananas.com/',b'Caviar & Bananas'
b'https://www.bbcgoodfood.com/howto/guide/health-benefits-bananas',b'The health benefits of bananas | BBC Good Food'
b'https://www.bananasnevis.com/',b'Bananas Restaurant Nevis'
b'https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1846/2',"b'Bananas, raw Nutrition Facts & Calories'"
b'https://www.food.com/about/banana-61',b'Banana - Kitchen Dictionary - Food.com'
b'https://bananasrecords.com/',b'Bananas Records | Official Website | Largest Vinyl Collection in the ...'
b'https://www.flavorpaper.com/wallpaper/patterns/handscreened/b-a-n-a-n-a-s',b'B-A-N-A-N-A-S! \xc2\xb7 Flavor Paper'
b'https://www.akc.org/expert-advice/nutrition/can-dogs-eat-bananas/',b'Can Dogs Eat Bananas?'
b'https://www.freshdirect.com/browse.jsp?id=ban',b'Shop for Bananas for Fast Delivery | FreshDirect'
b'https://www.heb.com/category/shop/fruit-vegetables/fruit/bananas/490082/490333',b'Bananas \xe2\x80\x91 Shop H\xe2\x80\x91E\xe2\x80\x91B Everyday Low Prices'
b'https://www.facebook.com/bananasbcn/',b'Bananas - 93 4884 660 - Home | Facebook'
b'https://www.tripadvisor.com/Restaurant_Review-g147326-d1135226-Reviews-Bananas-Isla_de_Vieques_Puerto_Rico.html',"b'Bananas, Isla de Vieques - Cond Flamboyan - Restaurant Reviews ...'"
b'http://www.whfoods.com/genpage.php?tname=foodspice&dbid=7',b'Bananas'
b'https://www.washingtonpost.com/news/wonk/wp/2015/12/04/the-worlds-most-popular-banana-could-go-extinct/',"b'Bye, bye, bananas - The Washington Post'"
b'https://en.wiktionary.org/wiki/bananas',b'bananas - Wiktionary'
b'https://www.npr.org/2020/04/18/837855243/she-meant-to-order-10-bananas-in-her-grocery-delivery-then-10-bunches-arrived-at',b'She Meant To Order 10 Bananas In Her Grocery Delivery. Then 10 ...'
b'https://www.universityofcalifornia.edu/longform/what-know-you-go-bananas-about-radiation',b'Infographic: What to know before you go bananas about radiation ...'
b'https://www.greenleafsbananas.com/',"b""Green Leaf's & Bananas: Beyond Great Salads"""
b'https://www.gobananastoys.com/',b'Go Bananas! A Jungle of Fun! - Go Bananas Toys'
b'https://www.symmetrymagazine.org/2009/07/23/antimatter-from-bananas',b'Antimatter from bananas | symmetry magazine'
b'https://www.bananascomedyclub.com/',b'Bananas Comedy Club'
b'https://bananarepublic.gap.com/',b'Shop Banana Republic for Contemporary Clothing for Women & Men'
b'https://www.rainforest-alliance.org/articles/rainforest-alliance-certified-bananas',b'Rainforest Alliance Certified Bananas | Rainforest Alliance'
b'https://www.eatthis.com/benefits-of-bananas/',b'17 Science-Backed Benefits of Bananas | Eat This Not That'
b'https://soundcloud.com/sammybananas',"b""Sammy Bananas's stream on SoundCloud - Hear the world's sounds"""
b'https://www.goodhousekeeping.com/health/diet-nutrition/a47807/banana-nutrition/',b'Banana Nutrition Facts - Health Benefits of Bananas'
b'https://www.fairtrade.net/product/bananas',b'Bananas -'
b'https://www.amazon.com/Yeowww-Catnip-Toy-Yellow-Banana/dp/B000AUJFHE',"b'Yeowww! Catnip Toy, Yellow Banana : Cat Toys : Pet ... - Amazon.com'"
b'https://time.com/4017962/banana-nutrition/',b'Examining the Banana: Are Bananas Really Worth the Calories ...'
b'https://www.storyplace.org/story/bananas-lunch',b'Bananas for Lunch | StoryPlace'
b'https://www.calorieking.com/us/en/foods/f/calories-in-fresh-fruits-bananas-raw/wD01T68KTjyMTa2r5dKwYw',"b'Calories in Bananas, raw | CalorieKing'"
