link,headline
b'https://www.mango.org/about-mangos/',"b'Learn About Mango Fruit - Facts, Nutrition, & More | Mango Board'"
b'https://www.youtube.com/watch?v=yE0NGXZ_HBs',b'How To Cut And Dice A Mango - YouTube'
b'https://www.mango.org/',"b""National Mango Board: Mango Fruit Recipes, How-to's, Tips & More"""
b'https://www.mangosmexicancafe.com/',b'Mangos Mexican Cafe: Mexican Food | Mesa Arizona'
b'https://www.simplyrecipes.com/recipes/how_to_cut_a_mango/',b'How to Cut a Mango | SimplyRecipes.com'
b'https://www.medicalnewstoday.com/articles/275921',"b'Mangoes: Benefits, nutrition, and recipes'"
b'https://en.wikipedia.org/wiki/Mango',b'Mango - Wikipedia'
b'https://mangosnwa.com/',"b'Mangos Gourmet Taco Shop \xe2\x80\x93 Mexican Food in Fayetteville, AR'"
b'https://github.com/nanomsg/mangos-v1',b'nanomsg/mangos-v1: The pure golang implementation of ... - GitHub'
b'https://mangos.com/',"b""Mango's Tropical Cafe | Orlando, FL | Miami Beach, FL | Night Club ..."""
b'https://shop.mango.com/us',b'Mango USA | Online fashion'
b'https://mangosrestaurant.com/',"b""Mangos Restaurant & Tiki Bar \xe2\x80\x93 We're located directly on the beach ..."""
b'https://mangos.agency/',"b'Boutique branding agency - Mangos - Philadelphia, PA'"
b'https://www.liveeatlearn.com/mangoes/',b'Mangoes 101: Everything You Need To Know About Mango'
b'https://mangos.com/mangos-miami-beach/',"b""Mango's South Beach FAQs | Mango's Tropical Cafe | Miami, FL ..."""
b'https://www.healthline.com/nutrition/mango',"b'Mango: Nutrition, Health Benefits and How to Eat It'"
b'https://mangolanguages.com/',b'Mango Languages: Online Language Learning Software'
b'https://www.bbcgoodfood.com/howto/guide/health-benefits-mango',b'The health benefits of mango | BBC Good Food'
b'https://www.mangomangos.com/',"b""Mango Mango's - Restaurant in St Augustine, FL"""
b'https://www.getmangos.eu/',b'Home - getMaNGOS | The home of MaNGOS'
b'https://www.fourseasons.com/nevis/dining/restaurants/mango/',b'Caribbean Restaurant in Nevis | Mango at Four Seasons Resort Nevis'
b'https://www.hotellosmangos.com/',b'Hotel Los Mangos'
b'http://magictheatre.org/season/dont-eat-the-mangos',"b""Don't Eat the Mangos - San Francisco"""
b'http://www.mangos-grill.com/',"b""Mango's Grill | Authentic Venezuelan Cuisine"""
b'https://www.thepacificclub.org/Default.aspx?p=DynamicModule&pageid=407591&ssid=334609&vnf=1',b'Mangos - The Pacific Club'
b'https://www.akc.org/expert-advice/nutrition/can-dogs-eat-mango/',b'Can Dogs Eat Mango? Are Mangoes Good For Dogs?'
b'https://www.amazon.com/Mangos-Mistletoe-Foodie-Holiday-Novella-ebook/dp/B081135L42',b'Mangos and Mistletoe: A Foodie Holiday Novella - Kindle edition by ...'
b'https://snaped.fns.usda.gov/seasonal-produce-guide/mangos',b'Mangos | SNAP-Ed'
b'https://www.tripadvisor.com/Restaurant_Review-g294316-d940762-Reviews-Mangos-Lima_Lima_Region.html',"b'Mangos, Lima - Miraflores - Restaurant Reviews, Photos & Phone ...'"
b'https://www.ams.usda.gov/rules-regulations/research-promotion/mango',b'National Mango Board | Agricultural Marketing Service'
b'https://www.today.com/food/how-cut-peel-mango-video-steps-t89286',b'How to cut and peel a mango: Video and Steps'
b'https://www.eventbrite.com/e/every-friday-mangos-raleigh-tickets-88574146657',"b'Every Friday @ Mangos Raleigh Tickets, Multiple Dates | Eventbrite'"
b'https://mangosbethany.com/',b'Mangos Bethany: Bethany Beach Boardwalk Restaurant & Bar'
b'https://www.mangooutlet.com/us/women',"b""Women's Fashion Outlet | Mango Outlet USA"""
b'https://www.facebook.com/mangoscafe/',"b'Mangos Cafe - Home - Milwaukee, Wisconsin - Menu, Prices ...'"
b'https://mangosbarandgrill.com/',"b""Mango's Bar and Grill at Smith Mountain Lake \xe2\x80\x93 Premieir restaurant ..."""
b'https://weedmaps.com/dispensaries/mango-cannabis-tulsa',"b'Mango Cannabis - Tulsa - Tulsa, Oklahoma Marijuana Dispensary ...'"
b'http://mangosfargo.com/',"b""Mango's Mexican and American Grill | Fargo, ND"""
b'https://cookieandkate.com/fresh-mango-salsa-recipe/',b'Fresh Mango Salsa Recipe - Cookie and Kate'
b'http://www.mangoscaribbeanrestaurant.com/',b'Mangos Caribbean Restaurant: Home of the Best ... - Atlanta'
b'https://www.mangospizza.com/',"b""Mango's Wood-Fired Pizza Co."""
b'https://www.merriam-webster.com/dictionary/mango',b'Mango | Definition of Mango by Merriam-Webster'
b'http://mangosgrill.net/',"b""Mango's Mexican & American Grill | Restaurant | Pub ... - Winona"""
b'https://m.yelp.com/biz/mangos-mexican-cafe-mesa',"b""Mango's Mexican Cafe - 147 Photos & 291 Reviews - Mexican - 44 ..."""
b'https://www.mangossac.com/',"b""Mango's - Sacramento"""
b'http://www.bnektar.com/brews/ow-my-mangos/',b'Ow! My Mangos! - B. Nektar Meadery'
b'http://www.mangosseasidegrill.com/',"b""Mango's Seaside Grill"""
b'http://mangosgrillrestaurant.com/',"b'Mangos Grill Restaurant \xe2\x80\x93 The real Mexican flavor in Laurel, Maryland'"
b'http://jmango.com/',b'Johnny Mango World Cafe & Bar | Fresh. Wholesome ... - Cleveland'
b'https://edis.ifas.ufl.edu/mg216',b'HS2/MG216: Mango Growing in the Florida Home Landscape'
b'https://www.mangoplano.com/',b'Mango Thai Cuisine: HOME'
b'https://www.hilton.com/en/hotels/tpabdes-embassy-suites-tampa-brandon/dining/',b'Embassy Suites Tampa Brandon Hotel Restaurants'
b'https://senormangos.com/',b'Senor Mangos: Home'
b'https://www.rushu.rush.edu/faculty/steve-mangos-phd',"b'Steve Mangos, PhD | Faculty | Rush University - Chicago'"
b'https://www.bbc.com/news/magazine-35461265',"b""China's curious cult of the mango - BBC News"""
b'https://www.npr.org/2020/01/29/800725896/mango-season-adds-flavor-to-kenyas-njaanuary',"b""Mango Season Adds Flavor To Kenya's Njaanuary : NPR"""
b'https://www.mangosmountaingrill.com/',"b""Mango's Mountain Grill I Bar & Grill I Red Cliff, CO"""
b'http://johnnymangosbarandgrill.com/',"b'Johnny Mangos Tiki Bar & Grill \xe2\x80\x93 Restaurant Jupiter, Florida'"
b'https://mangosdocksidebistro.com/',"b""Mango's Dockside Bistro"""
b'https://www.mangobistro.com/',b'Mango Bistro - Home - Englewood'
b'https://www.zillow.com/homedetails/9904-Mangos-Dr-San-Ramon-CA-94583/18447746_zpid/',"b'9904 Mangos Dr, San Ramon, CA 94583 | Zillow'"
b'https://mangosonmain.weebly.com/',b'MANGOS MAINSTREET EATERY - Home'
b'https://www.mangosplace.com/',"b""Mango's Place | Dublin & Powell Hourly, Daycare, Preschool ..."""
b'http://www.johnnymangos.com/',"b'Johnny Mangos \xe2\x80\x93 Delray Beach Garden Center, Landscaping & Gifts'"
b'http://www.mangoii.com/',b'MANGO II THAI CUISINE - Tewksbury'
b'https://therottenmangos.bandcamp.com/',b'The Rotten Mangos'
b'https://www.crfg.org/pubs/ff/mango.html',b'MANGO Fruit Facts'
b'https://www.allrecipes.com/video/5/how-to-cut-a-mango/',b'How to Cut a Mango Video - Allrecipes.com'
b'https://www.mangoperu.com/',b'mango st louis'
b'https://foodfacts.mercola.com/mango.html',b'What are Mangos Good For? - Mercola.com'
b'https://www.thespruceeats.com/mango-cooking-tips-and-hints-1807853',b'Mango Cooking Tips and Hints'
b'https://www.cnn.com/2015/04/24/world/venezuela-maduro-mango-to-the-head/index.html',b'Woman plunks Venezuelan President with mango - CNN'
b'https://www.mangodeckcabo.com/',"b'Mango Deck Restaurant & Beach Club - Medano Beach, Cabo San ...'"
b'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5452255/',b'Multifaceted Health Benefits of Mangifera indica L. (Mango): The ...'
b'https://fruitsandveggies.org/stories/top-10-ways-to-enjoy-mango-2/',b'Top 10 Ways to Enjoy Mangos - Have A Plant'
b'https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1952/2',"b'Mangos, raw Nutrition Facts & Calories'"
b'https://jbba.scholasticahq.com/article/3712-food-traceability-on-blockchain-walmart-s-pork-and-mango-pilots-with-ibm',"b""Food Traceability on Blockchain: Walmart's Pork and Mango Pilots ..."""
b'https://www.mangomangeaux.com/',"b'Mango Mangeaux | Hampton, VA'"
b'https://www.delmonte.com/products/snacks/fruit-chia/fruit-chiatm-mangos-pineapple-flavored-chia',b'Fruit & Chia\xe2\x84\xa2 Mangos in Pineapple Flavored Chia | Del Monte ...'
b'https://mangosalon.com/',b'MANGO SALON'
b'http://www.mangosvolleyball.com/',b'Home'
b'https://www.heb.com/static-page/Mango-Guide',b'Mango Guide'
b'https://emojipedia.org/mango/',b'\xf0\x9f\xa5\xad Mango Emoji'
b'https://m.youtube.com/watch?v=wZrTOJZN4RU',b'Mango and J.Lo Get into a Diva Battle - SNL - YouTube'
b'https://dota2.gamepedia.com/Enchanted_Mango',b'Enchanted Mango - Dota 2 Wiki'
b'https://champagnemango.com/',"b'Champagne Mango - Recipes, Fun Facts and more!'"
b'https://greenmangoscatering.com/',b'Green Mangos Catering: Home'
b'http://www.mangossalon.com/',b'Welcome to Mangos Salon'
b'https://www.amsterdammanor.com/dining',b'Dining | Aruba Restaurants | Amsterdam Manor'
b'https://aggie-horticulture.tamu.edu/fruit-nut/fact-sheets/mango/',b'Mango | Fruit & Nut Resources'
b'http://www.mrsmangoandcompany.com/',b'Mrs Mango and Company - Home - Rockledge'
b'https://www.macys.com/shop/womens-clothing/mango-fashion-clothing?id=240544',"b""Mango Fashion & Clothing - Macy's"""
b'https://www.mangosfreedomwheels.com/',"b""Mango's Freedom Wheels"""
b'https://www.britannica.com/plant/mango-plant-and-fruit',"b'mango | Description, History, & Cultivation | Britannica'"
b'https://www.meijer.com/shop/en/produce/fruit/tropical-exotic/mango/p/4959',"b'Mango Tropical & Exotic | Meijer Grocery, Pharmacy, Home & More!'"
b'https://www.jamba.com/smoothies/plant-based/mega-mango',b'Mango Orange Smoothie: Nutrition & Ingredients | Jamba Juice'
b'https://www.leafly.com/strains/mango',b'Mango Marijuana Strain Information | Leafly'
b'https://www.jamba.com/smoothies/plant-based/smooth-talkin-mango',"b""Smooth Talkin' Mango Smoothie: Nutrition & Ingredients | Jamba Juice"""
b'https://draxe.com/nutrition/mango-nutrition/',b'Mango Nutrition Helps Lower Blood Sugar & Boost Brain Health - Dr ...'
