link,headline
b'https://www.youtube.com/watch?v=COz9lDCFHjw',b'Passionfruit - YouTube'
b'https://en.wikipedia.org/wiki/Passiflora_edulis',b'Passiflora edulis - Wikipedia'
b'https://www.youtube.com/watch?v=p45fsJdjN4M',b'yaeji - passionfruit (dj remix) - YouTube'
b'https://www.healthline.com/health/food-nutrition/how-to-eat-passion-fruit',b'How to Eat Passion Fruit: Instructions and Recipes'
b'https://genius.com/Drake-passionfruit-lyrics',b'Drake \xe2\x80\x93 Passionfruit Lyrics | Genius Lyrics'
b'https://open.spotify.com/track/5mCPDVBb16L4XQwDdbRUpz',"b'Passionfruit, a song by Drake on Spotify'"
b'https://github.com/chaitin/passionfruit',b'chaitin/passionfruit: [WIP] Crappy iOS app analyzer - GitHub'
b'https://hort.purdue.edu/newcrop/morton/passionfruit.html',b'Passionfruit'
b'https://soundcloud.com/godmodemusic/yaeji-passionfruit-drake-rework-godmode',b'Yaeji - Passionfruit (Drake Rework) [GODMODE] by GODMODE on ...'
b'https://www.target.com/p/lacroix-passionfruit-sparkling-water-8pk-12-fl-oz-cans/-/A-15151846',b'LaCroix Passionfruit Sparkling Water - 8pk/12 Fl Oz Cans : Target'
b'https://archiveofourown.org/works/21270509',b'Passionfruit - Chapter 1 - SailorChibi - Miraculous Ladybug [Archive ...'
b'https://shoppassionfruit.com/',"b""passionfruit | let's get visible"""
b'https://www.amazon.com/Chocolate-Passionfruit-4th-Heart-Lactose-free/dp/B0769FTL47',b'Chocti Chocolate Passionfruit Ghee Cacao Spread ... - Amazon.com'
b'https://www.thespruceeats.com/passion-fruit-salad-dressing-3029635',b'Recipe for Sweet Tart Passion Fruit Salad Dressing'
b'https://www.loveandoliveoil.com/2014/11/passion-fruit-meyer-lemonade.html',b'Passion Fruit Meyer Lemonade | Love and Olive Oil'
b'https://www.medicalnewstoday.com/articles/324383',b'Passion fruit: 8 benefits and nutrition'
b'http://www.thymes.com/Fragrances/Passionfruit-Neroli/',b'Thymes Passionfruit Neroli'
b'https://www.pfriembeer.com/beer/kettle-soured-passionfruit-pale',b'Kettle Soured Passionfruit Pale | pFriem Family Brewers'
b'http://breakside.com/our_beer/passionfruit-sour/',b'Passionfruit Sour - Breakside | Seek and Enjoy'
b'https://passionfruitisland.com/',b'PASSiONFRUiT iSLAND: HOME'
b'https://www.lacroixwater.com/flavors/passionfruit/',b'Natural LaCroix Passionfruit flavored Sparkling Water'
b'https://untappd.com/b/r-and-d-brewing-passionfruit-gose/2775325',b'Passionfruit Gose - R&D Brewing - Untappd'
b'https://www.brambleberry.com/shop-by-product/ingredients/fragrance-oils/passionfruit-rose-fragrance-and-flavor-oil/V000234.html',b'Passionfruit Rose Fragrance and Flavor Oil | Bramble Berry'
b'https://www.bathandbodyworks.com/p/passionfruit-vanilla-cupcake-3-wick-candle-024643606.html',b'Passionfruit Vanilla Cupcake 3-Wick Candle | Bath & Body Works'
b'https://www.liberandcompany.com/products/tropical-passionfruit-syrup',b'Tropical Passionfruit Syrup - Liber & Co.'
b'https://grimmales.com/beer/passionfruit-rebus/',b'Passionfruit Rebus \xe2\x80\x93 Grimm Artisanal Ales'
b'https://rndbrewing.com/beer/passionfruit-gose/',b'Passionfruit Gose | R&D Brewing'
b'https://www.sephora.com/product/good-in-bed-passionfruit-softening-night-cream-P439423',b'Good in Bed\xe2\x84\xa2 Passionfruit Softening Night Cream - GLAMGLOW ...'
b'https://shopserra.com/products/gumdrops/spicy-passionfruit-gumdrops',b'Gumdrops | Spicy Passionfruit | Cannabis | Edibles - Serra'
b'https://gaclife.com/products/gac-passionfruit',b'Gac Sparkling Passion Fruit Hydrating Drink | Gac Life - GacLife'
b'https://www.adagio.com/flavors/passionfruit.html',b'Passionfruit Tea'
b'https://www.passionfruit.guide/',b'Ride there. Right now. Book guides everywhere on Passionfruit ...'
b'https://www.urbandictionary.com/define.php?term=Passionfruit',b'Passionfruit - Urban Dictionary'
b'https://www.wearepassionfruit.com/',b'Passionfruit: Online platform for digital nomads & freelancers'
b'https://funkybuddhabrewery.com/our-beers/special-release/passionfruit-berlinerweiss',b'Passionfruit Berlinerweiss | Funky Buddha Brewery'
b'https://www.chobani.com/products/fruit-on-the-bottom/cup/passionfruit/',b'Fruit on the Bottom Greek Yogurt | Passion Fruit Cup | Chobani\xc2\xae'
b'https://bennysings.bandcamp.com/track/passionfruit',b'Passionfruit | Benny Sings'
b'https://www.sujajuice.com/products/kombuchas/pineapple-passionfruit-kombucha/',"b'Pineapple Kombucha, Passionfruit Kombucha | Suja Juice'"
b'https://panolam.com/product/passionfruit/',b'Passionfruit | Panolam Surface Systems'
b'https://www.fragrantica.com/notes/Passionfruit-161.html',"b'Passionfruit perfume ingredient, Passionfruit fragrance and essential ...'"
b'https://www.eventbrite.com/e/passionfruit-queer-nye-2020-tickets-85531548163',"b'Passionfruit Queer NYE 2020!!! Tickets, Tue, Dec 31, 2019 at 9:00 ...'"
