link,headline
b'http://pearstheband.com/',b'PEARS | NOLA | HARDCORE PUNK - Official website of PEARS the ...'
b'https://usapears.org/',b'USA Pears | Largest Website Dedicated to Pears | Pear Resources'
b'https://www.healthline.com/nutrition/benefits-of-pears',b'9 Health and Nutrition Benefits of Pears'
b'https://usapears.org/pear-varieties/',b'Pear Varieties List | Guide to Ten Pear Types | USA Pears'
b'https://en.wikipedia.org/wiki/Pear',b'Pear - Wikipedia'
b'https://www.medicalnewstoday.com/articles/285430',b'Pears: Benefits and nutrition'
b'https://www.harryanddavid.com/h/fruit-gift/pears',b'Pears | Royal Riviera Pears | Pear Gift Baskets | Harry & David'
b'https://pearstheband.bandcamp.com/',b'PEARS'
b'https://www.facebook.com/PEARStheband/',b'PEARS - the band - Home | Facebook'
b'https://pears.oeie.org/',b'PEARS: Sign In'
b'https://www.ewg.org/foodnews/pears.php',"b""EWG's 2020 Shopper's Guide to Pesticides in Produce | Pears"""
b'https://www.epicurious.com/ingredients/types-and-varieties-of-pears-delicious-recipes-article',"b'7 Types and Varieties of Pears, Plus Delicious Pear Recipes ...'"
b'https://open.spotify.com/artist/1shBZ1oJHJaZaxq1Y6jyzY',b'PEARS on Spotify'
b'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4657810/',b'Systematic Review of Pears and Health'
b'https://www.newyorker.com/humor/daily-shouts/i-have-pears',b'I Have Pears | The New Yorker'
b'http://www.whfoods.com/genpage.php?tname=foodspice&dbid=28',b'Pears'
b'https://www.ncbi.nlm.nih.gov/pubmed/26625980',"b'Pregnancy, exercise and nutrition research study with smart phone ...'"
b'https://cpr.heart.org/en/courses/pears-course-options',b'PEARS Course Options | American Heart Association CPR & First Aid'
b'https://store.usps.com/store/product/buy-stamps/pears-S_111504',b'Pears Stamp | USPS.com'
b'https://xkcd.com/2209/',b'Fresh Pears - xkcd'
b'https://www.youtube.com/watch?v=Zgi3ZvolkRQ',b'Girl Band - Pears for Lunch - YouTube'
b'https://extension.psu.edu/lets-preserve-pears',"b""Let's Preserve: Pears"""
b'https://www.dictionary.com/browse/pears',b'Pears | Definition of Pears at Dictionary.com'
b'https://www.cdss.ca.gov/inforesources/CalFresh/Supplemental-Nutrition-Assistance-Program-Education/PEARS-User-Resources-and-Reference',b'PEARS User Resources and Reference'
b'https://www.mohawkaustin.com/e/canceled-pears-mohawk-indoor-84631500095/',b'CANCELED: Pears @ Mohawk (Indoor) \xe2\x80\x93 Tickets \xe2\x80\x93 Mohawk (Indoor ...'
b'https://www.toteandpears.com/',b'Tote + Pears'
b'https://www.washfruit.com/pears/',b'Pears - WFP'
b'https://www.southernthing.com/pear-salad-where-did-the-souths-comfort-dish-come-from-2592368269.html',"b""Pear salad: Where did the South's comfort dish come from? - It's a ..."""
b'https://aggie-horticulture.tamu.edu/extension/homefruit/pear/pear.html',b'Home Fruit Production - Pears'
b'https://gfletchy.com/the-3-pears/',b'The 3 Pears | Questioning My Metacognition'
b'http://www.calpear.com/',"b""California Pears \xe2\x80\x93 America's First Pear"""
b'https://www.washingtonpost.com/news/voraciously/wp/2019/10/21/pears-are-the-unheralded-stars-of-the-fall-fruit-bounty-heres-how-to-choose-and-use-them/',"b""Pears are the unheralded stars of the fall fruit bounty. Here's how to ..."""
b'https://www.pbs.org/food/recipes/oven-braised-pork-chops-red-onions-pears-costolette-di-maiale-brasate-forno-con-pere-e-cipolle/',b'Oven-Braised Pork Chops with Red Onions and Pears Recipe | PBS ...'
