link,headline
b'https://en.wikipedia.org/wiki/Raspberry',b'Raspberry - Wikipedia'
b'https://www.almanac.com/plant/raspberries',"b'Raspberries: How to Plant, Grow, and Harvest Raspberries | The Old ...'"
b'https://www.medicalnewstoday.com/articles/283018',"b'Raspberries: Health benefits, nutrition, tips, and risks'"
b'https://www.healthline.com/nutrition/raspberry-nutrition',"b'Red Raspberries: Nutrition Facts, Benefits and More'"
b'https://gardenerspath.com/plants/fruit/grow-raspberries/',"b""How to Grow Your Own Raspberries | Gardener's Path"""
b'https://www.driscolls.com/berries/raspberries',"b""Raspberries & Organic Raspberries | Driscoll's"""
b'http://www.whfoods.com/genpage.php?tname=foodspice&dbid=39',b'Raspberries'
b'https://www.gurneys.com/category/raspberry-plants',"b""Raspberries- Gurney's Red, Golden & Black Raspberry Plants"""
b'http://berryhealth.fst.oregonstate.edu/health_healing/fact_sheets/red_raspberry_facts.htm',b'Red Raspberries'
b'https://www.discogs.com/artist/520737-Raspberries',b'Raspberries | Discography | Discogs'
b'https://www.raspberrypi.org/',"b'Teach, Learn, and Make with Raspberry Pi \xe2\x80\x93 Raspberry Pi'"
b'https://www.ncbi.nlm.nih.gov/pubmed/26773014',b'Red Raspberries and Their Bioactive Polyphenols: Cardiometabolic ...'
b'https://nutritiondata.self.com/facts/fruits-and-fruit-juices/2053/2',"b'Raspberries, raw Nutrition Facts & Calories'"
b'https://www.theguardian.com/science/2009/apr/21/space-raspberries-amino-acids-astrobiology',"b""Galaxy's centre tastes of raspberries and smells of rum | Science ..."""
b'https://www.raspberrypi.org/products/',b'Buy a Raspberry Pi \xe2\x80\x93 Raspberry Pi'
b'http://www.raspberriescafeutica.com/',"b'Raspberries Caf\xc3\xa9 - Breakfast and Lunch Restaurant | Utica, NY'"
b'https://www.kroger.com/p/red-raspberries/0003338321000',"b'Red Raspberries, 6 oz - Kroger'"
b'https://www.youtube.com/watch?v=JGCtVvZnFC4',b'RASPBERRY | How Does it Grow? - YouTube'
b'https://ag.purdue.edu/hla/pubs/HO/HO-44.pdf',b'Raspberries'
b'https://www.agmrc.org/commodities-products/fruits/raspberries',b'Raspberries | Agricultural Marketing Resource Center'
b'https://www.akc.org/expert-advice/nutrition/can-my-dog-eat-raspberries/',b'Can Dogs Eat Raspberries? Are Raspberries Good for Dogs?'
b'https://www.merriam-webster.com/dictionary/raspberry',b'Raspberry | Definition of Raspberry by Merriam-Webster'
b'https://www.target.com/p/driscoll-s-raspberries-6oz-package/-/A-13208899',"b""Driscoll's Raspberries - 6oz Package : Target"""
b'https://pickyourown.org/raspberries.htm',b'raspberries: raspberry Facts and Picking Tips'
b'https://indianaberry.com/products/1/2/Plants/Raspberries',b'Plants: Raspberries - Indiana Berry Online Store'
b'https://www.nutrition-and-you.com/raspberry.html',b'8 amazing Raspberry nutrition facts and health benefits'
b'https://extension.unh.edu/resources/files/Resource000010_Rep10.pdf',b'Growing Fruits: Raspberries and other bramble crops'
b'https://www.burpee.com/fruit/raspberry-plants/',"b'Raspberry Plants - Anne, Jewel, Caroline, Fruit Plants at Burpee.com'"
b'https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/winco-foods-llc-recalls-frozen-red-raspberries-because-possible-health-risk',"b'Winco Foods, LLC. Recalls Frozen Red Raspberries Because of ...'"
