cluster_no,link,content
Health & General,b'https://en.wikipedia.org/wiki/Cantaloupe',cantaloupe rockmelon australia sweet melon spanspek south africa melon variety muskmelon species cucumis melo family cucurbitaceae cantaloupes range weight kilograms lb originally cantaloupe referred non netted orange fleshed melons europe today may refer orange fleshed melon c melo species name cantaloupe derived 18th century via french cantaloup italian cantalupo formerly papal county seat near rome fruit introduced armenia first mentioned english literature cantaloupe likely originated region south asia africa later introduced europe around became commercial crop united states melon derived use old french meloun 13th century medieval latin melonem kind pumpkin among first plants domesticated cultivated south african english name spanspek said derived afrikaans spaanse spek spanish bacon supposedly sir harry smith 19th century governor cape colony ate bacon eggs breakfast spanish born wife juana mar de los dolores de le n smith preferred canteloupe south africans nicknamed eponymous fruit spanish bacon however name appears predate smiths date 18th century dutch suriname j van donselaar wrote spaansch spek name form grows suriname thick skin little flesh less consumed european cantaloupe c melo var cantalupensis lightly ribbed sweet flavorful flesh gray green skin looks quite different north american cantaloupe north american cantaloupe c melo var reticulatus common united states mexico parts canada different variety c melo muskmelon reticulated net like peel round melon firm orange moderately sweet flesh global production melons including cantaloupes totaled million tons china accounting world total million tons significant countries growing cantaloupe turkey iran egypt india producing million tons respectively cantaloupe normally eaten fresh fruit salad dessert ice cream custard melon pieces wrapped prosciutto familiar antipasto seeds edible may dried use snack surface cantaloupe contain harmful bacteria particular salmonella recommended melon washed scrubbed thoroughly cutting consumption fruit refrigerated cutting consumed less three days prevent risk salmonella bacterial pathogens moldy cantaloupe peoria illinois market found contain highest yielding strain mold penicillin production worldwide search raw cantaloupe water carbohydrates protein fat providing kj kcal g provitamin orange carotenoid beta carotene per grams fresh cantaloupe rich source daily value dv vitamin c dv vitamin dv nutrients negligible amounts less dv table
Miscellaneous,b'https://cantaloupemusic.com/',sorry website quite yet many cases may new site coming soon location also possible typo url typed
Health & General,b'https://www.medicalnewstoday.com/articles/279176',cantaloupe melon makes refreshing snack summer contains nutrients benefit person health popular children adults cantaloupe make refreshing healthful easy summer dessert high water content helps prevent dehydration type fruit also contains variety vitamins minerals antioxidants names cantaloupe include muskmelon mush melon rock melon persian melon member cucurbitaceae family along honeydew melons watermelons cucumbers water antioxidants vitamins minerals cantaloupe provide variety health benefits antioxidants example help prevent cell damage lead cancer health conditions metabolism body produces unstable molecules called free radicals collect body damage cells damage known oxidative stress antioxidants help remove free radicals body prevent oxidative stress canteloupe contains range antioxidants including worth noting nutrients food essential maintaining healthy body scientific investigations effects nutrients often deal supplements rather dietary sources results may somewhat different find foods good sources antioxidants lutein zeaxanthin two similar antioxidants plant pigments give fruits vegetables yellow red hue combination help filter harmful blue light rays doctors believe plays protective role eye health may help prevent damage age related macular degeneration amd also authors study published suggest combination lutein zeaxanthin present cantaloupe may help protect eyes damage leads amd learn amd studies animals suggested consuming large amount antioxidant beta carotene form vitamin may help prevent asthma developing later person life beta carotene yellow orange fruits cantaloupe cup grams g cantaloupe balls contains micrograms mcg beta carotene experts recommend daily beta carotene intake mcg day males ages older females age group vitamin c essential vitamin antioxidant may protect asthma experts suggested using vitamin c supplements treat asthma cup cantaloupe balls provides mg vitamin c current guidelines recommend adult females consume mg vitamin c day adult males consume mg also people asthma received choline another antioxidant cantaloupe treatment experienced reduction levels inflammation according study studies focus antioxidant supplements however provide much stronger doses dietary sources nutrients fiber potassium vitamin c choline cantaloupe support heart health consuming foods rich potassium help decrease blood pressure american heart association aha recommend average adult consume mg potassium day keep cardiovascular system healthy cup cantaloupe provides around mg potassium person recommended daily intake find foods may help lower blood pressure beta carotene tocopherol antioxidants cantaloupe may help prevent cell damage caused oxidative stress evidence taking supplements containing antioxidants may reduce risk lung prostate types cancer dietary fiber also appears offer protection colorectal cancer cup cantaloupe contains g fiber diet affect risk cancer find cantaloupe high water content provides fiber fiber water help prevent constipation promoting regularity healthy digestive tract high water electrolyte contents cantaloupe good choice boosting hydration hot summer months workout gram cup cantaloupe balls contains g water examples electrolytes cantaloupe include sodium potassium calcium magnesium learn electrolytes vitamin contributes growth maintenance tissues body including skin hair vitamin c enables body produce collagen provides structure cells skin hair review found range minerals vitamins may play role promoting hair growth preventing hair loss many present various amounts cantaloupe cantaloupe also contributes overall hydration studies suggest consuming additional water may help keep skin supple although evidence necessary confirm foods boost hair growth find table shows key nutrients cantaloupe also shows much nutrient person needs day depending age sex nutrients watermelon provide find choosing cantaloupe look one firm heavy symmetrical without soft spots bruising flesh season cantaloupes bright sweet juicy season may hard bland check local store find best time buy cantaloupes tips preparing serving cantaloupe people may need take care consuming cantaloupe people type diabetes conditions require low sugar diet use caution determining right serving size cantaloupe melon comes contact bacteria irrigation means outer skin may clean washing scrubbing outside cutting melon reduce risk harmful bacteria salmonella entering fruit flesh cantaloupe provides around person potassium needs beta blockers type medication doctors often prescribe heart disease cause potassium levels rise people use beta blockers consume cantaloupe moderation high potassium levels lead kidney damage also anyone kidney problem check doctor increasing intake high potassium food cantaloupe people diabetes eat watermelon find cantaloupe refreshing healthful fruit best summer contains water range minerals vitamins antioxidants beneficial part varied diet type melon best people diabetes managing diabetes important account total carbohydrate count meal mindful glycemic index type food melons including cantaloupe watermelon high glycemic index meaning greater impact blood sugar limiting intake pairing fruits healthy fats proteins decrease spikes blood sugar fruits play role healthful eating plan person diabetes specific intake recommendations best speak registered dietitian mangoes sweet creamy taste contain vital vitamins minerals article learn powerful health examine papaya fruit including look health conditions might help diabetes heart disease skin hair watermelon allergy rare symptoms include coughing hives stomach cramping person treat mild allergic reaction bananas may help lower blood pressure reduce risk developing cancer find nutrients bananas provide get tips discover potential health benefits pineapple source essential vitamins minerals thiamin riboflavin vitamin b folate
Health & General,b'https://www.healthline.com/health/food-nutrition/benefits-of-cantaloupe',humble cantaloupe may get much respect fruits tasty although odd looking melon packed nutrients think nabbing cantaloupe time hit grocery store produce section read learn may want think adding fruit kind diet beneficial cantaloupe variety musk melon particularly good choice comes beta carotene cantaloupe knocks yellow orange fruits park according united states department agriculture usda cantaloupe beta carotene early study determined orange flesh melons like cantaloupe amount beta carotene carrots beta carotene type carotenoid carotenoids pigments give fruits vegetables bright colors eaten beta carotene either converted vitamin acts powerful antioxidant help fight free radicals attack cells body vitamin important according usda cup balled cantaloupe contains percent recommended daily value dv vitamin c according mayo clinic vitamin c involved production research needed vitamin c prove effectiveness diseases like however eating vitamin c rich foods may help reduce long symptoms last next time common cold cochrane library review found vitamin c reduced length common cold adults percent children time span cold reduced percent folate also known vitamin b folate term used naturally present foods folic acid term used supplements fortified foods folate well known preventing neural tube birth defects like spinal bifida may also help comes cancer folate may double edged sword according closer look studies vitamin published american journal clinical nutrition folate may offer protection early cancers people folate deficiency however vitamin b high doses excessive supplementation may stimulate worsen later stage cancers according mayo clinic pregnant women women childbearing age need consume micrograms folate daily males age consume micrograms two cups balled cantaloupe micrograms folate around percent daily value like fruits cantaloupe high water content almost percent eating cantaloupe helps stay hydrated throughout day important heart health hydrated heart work hard pump blood good hydration also supports mild dehydration may cause severe cases may serious lead dehydration also risk factor developing kidney stones plain water best bet staying hydrated eating water rich fruits like cantaloupe also help health benefits fiber go beyond preventing constipation high fiber diet may according dietary guidelines americans recommended intake fiber following one wedge medium sized cantaloupe provides percent potassium daily value potassium essential electrolyte mineral according american heart association potassium helps keep right water balance cells body fluids potassium also vital nerve health proper muscle contraction eating potassium rich snack like cantaloupe exercise helps replenish depleted electrolytes one cup cantaloupe contains grams protein also small amounts many vitamins minerals including healthy benefits make cantaloupe well rounded nutritious fruit choice cantaloupes available year round melon shines summer freshest sweetest choosing ripe cantaloupe look one symmetrical feels slightly heavy color creamy light yellow orange little green ripe cantaloupe smell sweet little musky freshest taste use cantaloupe within days purchase cantaloupes delicious fruit salad surprising ways use examples comes melons much better cantaloupe nutritious delicious versatile typically buy watermelon honeydew melon shy away cantaloupe missing calories fat per cup serving adding cantaloupe diet arsenal smart way get potent nutrients sweetness healthy eating plan foods reduce appetite cravings help burn calories weight loss friendly foods planet discover list foods give energy help beat fatigue list healthy foods surprisingly tasty major food groups included comes eating foods fuel exercise performance simple choosing vegetables doughnuts learn choose foods breakdown nutritional content almond versus peanut butter help determine one bigger health advantage may think get protein meat nuts eggs veggies prove protein theories wrong monolaurin learn byproduct coconut fat potential benefits health avocados much main ingredient guacamole nutritional powerhouses help lower cholesterol may reduce risk tracking nutrition many benefits helping manage food intolerances increasing energy avoiding mood swings fueling optimal health good idea choose foods contain nutrients nutrient dense foods earth
Miscellaneous,b'http://www.whfoods.com/genpage.php?tname=foodspice&dbid=17',permission access genpage php server
Health & General,b'https://www.cdc.gov/listeria/outbreaks/cantaloupes-jensen-farms/index.html',posted august etthis investigation closed listeria monocytogenes infection listeriosis important cause illness united states information listeriosis steps people take reduce risk infection found cdc listeria website cdc collaborated public health officials numerous states including colorado well u food drug administration fda investigate multistate outbreak listeriosis occurred august october listeriosis serious infection usually caused eating food contaminated bacterium listeria monocytogenes investigators used dna analysis listeria bacteria isolated patients identify cases illness may part outbreak listeria bacteria obtained diagnostic testing pulsed field gel electrophoresis pfge used determine dna fingerprint patterns investigators used data pulsenet national subtyping network made state local public health laboratories federal food regulatory laboratories performs molecular surveillance foodborne infections update december investigators learned listeria isolate isolated sample cut cantaloupe patient home outbreak investigation pfge pattern combination different four known pattern combinations outbreak search pulsenet database matching dna fingerprint patterns isolates collected outbreak time period identified one human matching isolate person listeria isolated reported eating cantaloupe becoming ill case added case count total persons infected five outbreak associated subtypes listeria monocytogenes reported cdc states number infected persons identified state follows alabama arkansas california colorado idaho illinois indiana iowa kansas louisiana maryland missouri montana nebraska nevada new mexico new york north dakota oklahoma oregon pennsylvania south dakota texas utah virginia west virginia wisconsin wyoming among persons information available reported illness onset ranged july october ages ranged years median age years ill persons years old fifty eight percent ill persons female among ill persons available information whether hospitalized hospitalized thirty three outbreak associated deaths reported colorado indiana kansas louisiana maryland missouri montana nebraska new mexico new york oklahoma texas wyoming among persons died ages ranged years median age years addition one woman pregnant time illness miscarriage ten deaths attributed listeriosis occurred among persons infected outbreak associated subtype state local public health officials reviewed causes death listed death certificates determine whether attribute deaths listeriosis deaths included review occurred recently february seven illnesses related pregnancy three diagnosed newborns four diagnosed pregnant women one miscarriage reported outbreak visually described chart showing number persons became ill day chart called epidemic curve epi curve please see description steps foodborne outbreak investigation details laboratory confirmed cases listeria infection reported year united states typically outbreaks identified foods typically cause outbreaks mexican style soft cheeses made unpasteurized milk deli meats hot dogs past produce often identified source sprouts caused outbreak precut celery caused outbreak collaborative investigations local state federal public health regulatory agencies indicated source outbreak whole cantaloupe grown jensen farms production fields granada colorado among ill persons available information ate reported consuming cantaloupe month illness onset several ill persons remembered type cantaloupes eaten said rocky ford cantaloupes grown rocky ford region southeastern colorado source tracing cantaloupes ill persons ate indicated came jensen farms marketed rocky ford region cantaloupes shipped july september least statesexternal possible distribution colorado department public health environment isolated listeria monocytogenes cantaloupe samples collected grocery stores ill persons homes colorado state officials determined cantaloupes came jensen farms fda externalisolated listeria monocytogenes outbreak subtypes samples equipment cantaloupe jensen farms packing facility granada colorado fda worked closely cdc firms involved public health authorities states illnesses occurred determine cause contamination cantaloupes farms linked outbreak 5pm edt september total persons infected outbreak associated strains listeria monocytogenes reported states illnesses started august number infected persons identified state follows california colorado illinois indiana maryland montana nebraska new mexico oklahoma texas virginia west virginia wisconsin wyoming total persons infected outbreak associated strains listeria monocytogenes reported states illnesses started august number infected persons identified state follows california colorado illinois indiana montana nebraska new mexico oklahoma texas west virginia cdc collaborating public health officials several states including colorado u food drug administration fda investigate multistate outbreak listeriosis listeriosis serious infection usually caused eating food contaminated bacterium listeria monocytogenes investigators using dna analysis listeria isolated patients identify cases illness may part outbreak listeria bacteria obtained diagnostic testing pulsed field gel electrophoresis pfge used determine dna fingerprint patterns investigators using data pulsenet national subtyping network made state local public health laboratories federal food regulatory laboratories performs molecular surveillance foodborne infections total persons infected outbreak strain listeria monocytogenes reported states illnesses started august number infected persons identified state follows colorado nebraska oklahoma texas listeriosis illnesses several states currently investigated state local health departments determine illnesses part outbreak among persons information available illnesses began august ages range years median age years old ill persons years old health conditions weaken immune system seventy three percent ill persons female patients hospitalized one death reported outbreak visually described chart showing number persons became ill day chart called epidemic curve epi curve illnesses occurred august might reported yet due time takes person becomes ill illness reported please see description steps foodborne outbreak investigation details cases listeria infection diagnosed year united states along outbreaks listeria associated foodborne illness typical foods cause outbreaks deli meats hot dogs mexican style soft cheeses made unpasteurized milk produce often identified source sprouts caused outbreak celery caused outbreak ongoing collaborative investigations local state federal public health regulatory agencies indicate likely source outbreak type cantaloupe called rocky ford cantaloupes grown rocky ford region southeastern colorado cantaloupes harvested august september distributed widely united states currently available grocery stores ill persons interviewed exposures month becoming ill investigators compared responses persons listeriosis reported cdc listeria initiative whose illnesses part outbreak preliminary results strongly suggest illnesses linked consumption cantaloupes several ill persons remembered type cantaloupe said rocky ford cantaloupes product traceback information indicated cantaloupes marketed cantaloupes harvested rocky ford region laboratory testing colorado department public health environment identified listeria monocytogenes bacteria cantaloupe collected grocery stores ill person home product traceback information colorado state officials indicated cantaloupes harvested rocky ford region fda working closely cdc firms involved public health authorities states illnesses occurred determine exact source contamination september colorado department public health environmentcdc pdfexternal advised persons colorado high risk severe listeriosis avoid eating cantaloupes cdc advises persons throughout mainland united states high risk listeriosis including older adults persons weakened immune systems pregnant women eat cantaloupes marketed coming rocky ford region colorado
Health & General,b'https://www.myrecipes.com/extracrispy/these-3-diy-cantaloupe-beauty-recipes-will-keep-you-hydrated-this-summer',ever indulged cantaloupe breakfast bowl know melon coincidentally showing brunch sun starts heat cantaloupes melon cousins high water content thrown rough exteriors hydration one many reasons use cantaloupe beauty recipes filled potassium antioxidants beta carotene one fruit packed cell regenerating properties skin types cantaloupe contains vitamins c k e things typically look skin care especially us signs premature aging forget start aging moment born continue age start producing less collagen proteins affects elasticity scarring cantaloupe contains b vitamins folic acid increases collagen production new cell development healthy levels keep hair skin nails strong healing nourishing qualities ripe cantaloupe applied directly beauty routine make sure pick ripe cantaloupe making cantaloupe infused beauty products fairly easy master art picking cantaloupe tell light sweet fragrance smell recipe great dry coarse hair need hydration restoration also fantastic hair gone swim pool ocean cut open ripe cantaloupe scoop guts saving seeds future use add guts large mixing bowl scoop avocado shell add rest ingredients bowl use hand held blender food processor blend ingredients reach smooth consistency transfer sealable tinted container adding essential oils apply damp clean hair keep mask minutes rinse thoroughly adding essential oils storing refrigerator keep hair mask fresh least days mask amazing skin types gentle healing filled nutrients take tablespoon dry cantaloupe seeds saved smoothie use clean coffee grinder food processor grind seeds mix tablespoon raw oat powder ounces raw honey sealable tinted container blend manually ingredients mixed apply damp makeup free skin let sit minutes rinsing lukewarm water mask weekly exfoliate weeks kept room temperature stored cool dry place tonic water perfect way make dry dehydrated skin feel alive infusion packed antioxidants usually make cantaloupe water blending ratio parts distilled water part cantaloupe water thick skin may feel sticky spritz tinted spray bottle add witch hazel cantaloupe water essential oils take spray bottle hydrate go sure return fridge go bad essential oils guarantee freshness super hot days face tonic last days find recipes ingredients hand
Videos,b'https://www.youtube.com/watch?v=cZQCgga166Q',loading loading loading working loading loading working sign report inappropriate content loading loading loading learn quickly cut away rind cantaloupe easy video lesson tundra restaurant supply shop tundra restaurant supply http bit ly 1onjkg2visit blog videos http bit ly 1jxthejfollow us facebook https www facebook com tundrarestau twitter https twitter com etundra linked https www linkedin com company tund google https plus google com tundrarestau pinterest https www pinterest com etundra loading loading loading loading loading working loading playlists
Health & General,b'https://en.wiktionary.org/wiki/cantaloupe',french cantaloup italian cantalupo place name former papal summer estate near rome melons first grown introduced europe cantaloupe plural cantaloupes cantaloupe
Videos,b'https://www.youtube.com/watch?v=jMn4kZ8fmFc',loading loading loading working loading working loading loading working sign report inappropriate content loading loading loading loading loading loading working loading playlists
