cluster_no,link,content
Nutrition & Health Benefits,b'https://en.wikipedia.org/wiki/Watermelon',watermelon citrullus lanatus plant species family cucurbitaceae vine like flowering plant originating west africa highly cultivated fruit worldwide varieties watermelon scrambling trailing vine flowering plant family cucurbitaceae evidence seeds pharaoh tombs watermelon cultivation ancient egypt watermelon grown favorable climates tropical temperate regions worldwide large edible fruit berry hard rind internal divisions botanically called pepo sweet juicy flesh usually deep red pink many black seeds although seedless varieties exist fruit eaten raw pickled rind edible cooking commonly consumed juice ingredient mixed beverages considerable breeding effort developed disease resistant varieties many cultivars available produce mature fruit within days planting china produced two thirds world total watermelons watermelon annual prostrate climbing habit stems long new growth yellow brown hairs leaves mm long mm wide usually three lobes lobed doubly lobed plants male female flowers mm long hairy stalks yellow greenish back watermelon large annual plant long weak trailing climbing stems five angled five sided ft long young growth densely woolly yellowish brown hairs disappear plant ages leaves large coarse hairy pinnately lobed alternate get stiff rough old plant branching tendrils white yellow flowers grow singly leaf axils corolla white yellow inside greenish yellow outside flowers unisexual male female flowers occurring plant monoecious male flowers predominate beginning season female flowers develop later inferior ovaries styles united single column large fruit kind modified berry called pepo thick rind exocarp fleshy center mesocarp endocarp wild plants fruits cm diameter cultivated varieties may exceed cm rind fruit mid dark green usually mottled striped flesh containing numerous pips spread throughout inside red pink commonly orange yellow green white bitter watermelon become naturalized semiarid regions several continents designated pest plant parts western australia called pig melon species two varieties watermelons citrullus lanatus thunb var lanatus citron melons citrullus lanatus var citroides l h bailey mansf originated erroneous synonymization citrullus lanatus thunb matsum nakai citrullus vulgaris schrad l h bailey molecular data including sequences original collection thunberg relevant type material show sweet watermelon citrullus vulgaris schrad bitter wooly melon citrullus lanatus thunb matsum nakai closely related proposal conserve name citrullus lanatus thunb matsum nakai accepted nomenclature committee confirmed international botanical congress sweet watermelon formally described carl linnaeus given name cucurbita citrullus reassigned genus citrullus replacement name citrullus vulgaris german botanist heinrich adolf schrader international code nomenclature algae fungi plants allow names like citrullus citrullus bitter wooly melon sister species citrullus ecirrhosus cogn south african arid regions sweet watermelon closer citrullus mucosospermus fursa fursa west africa populations sudan bitter wooly melon formally described carl peter thunberg given name momordica lanata reassigned genus citrullus japanese botanists jinz matsumura takenoshin nakai watermelon flowering plant originated west africa also found growing wild citrullus colocynthis may wild ancestor watermelon native range extends north west africa west india observed growing wild central africa evidence cultivation c lanatus c colocynthis nile valley found second millennium bc onward seeds species found twelfth dynasty sites tomb pharaoh tutankhamun watermelon seeds found dead sea region ancient settlements bab edh dhra tel arad 7th century watermelons cultivated india 10th century reached china today world single largest watermelon producer moors introduced fruit spain evidence cultivated c rdoba also seville spread northwards southern europe perhaps limited advance summer temperatures insufficient good yields fruit begun appearing european herbals widely planted europe 17th century minor garden crop european colonists slaves africa introduced watermelon new world spanish settlers growing florida grown massachusetts cultivated peru brazil panama well many british dutch colonies around time native americans cultivating crop mississippi valley florida watermelons rapidly accepted hawaii pacific islands introduced explorers captain james cook civil war era united states watermelons commonly grown free black people became one symbol abolition slavery civil war black people maligned association watermelon sentiment evolved racist stereotype black people shared supposed voracious appetite watermelon fruit long correlated laziness uncleanliness seedless watermelons initially developed japanese scientists able create seedless triploid hybrids remained rare initially sufficient disease resistance seedless watermelons became popular 21st century rising nearly total watermelon sales united states watermelons plants grown climates tropical temperate needing temperatures higher c f thrive garden scale seeds usually sown pots cover transplanted well drained sandy loam ph medium levels nitrogen major pests watermelon include aphids fruit flies root knot nematodes conditions high humidity plants prone plant diseases powdery mildew mosaic virus varieties often grown japan parts far east susceptible fusarium wilt grafting varieties onto disease resistant rootstocks offers protection us department agriculture recommends using least one beehive per acre m2 per hive pollination conventional seeded varieties commercial plantings seedless hybrids sterile pollen requires planting pollinizer rows varieties viable pollen since supply viable pollen reduced pollination much critical producing seedless variety recommended number hives per acre pollinator density increases three hives per acre m2 per hive watermelons longer growing period melons often take days time transplanting fruit mature farmers zentsuji region japan found way grow cubic watermelons growing fruits metal glass boxes making assume shape receptacle cubic shape originally designed make melons easier stack store square watermelons may triple price normal ones appeal mainly wealthy urban consumers pyramid shaped watermelons also developed polyhedral shape may potentially used number cultivar groups identified syn c lanatus subsp lanatus var citroides c lanatus var citroides c vulgaris var citroides dna data reveal c lanatus var citroides bailey thunberg bitter wooly melon c lanatus also c amarus schrad form sweet watermelon c vulgaris closely related species citron melon makataan variety sweet yellow flesh cultivated around world fodder production citron peel pectin syn c lanatus var caffer c caffer schrad synonym c amarus schrad variety known tsamma grown juicy white flesh variety important food source travellers kalahari desert another variety known karkoer bitterboela unpalatable humans seeds may eaten small fruited form bumpy skin caused poisoning sheep linnaeus sweet watermelon grown human consumption thousands years west african species closest wild relative watermelon cultivated cattle feed additionally wild species bitter fruit containing cucurbitacin c colocynthis l schrad ex eckl zeyh c rehmii de winter c naudinianus sond hook f cultivars watermelon range weight less kg kilograms lb flesh red pink orange yellow white charles fredrick andrus horticulturist usda vegetable breeding laboratory charleston south carolina set produce disease resistant wilt resistant watermelon result gray melon charleston oblong shape hard rind made easy stack ship adaptability meant could grown wide geographical area produced high yields resistant serious watermelon diseases anthracnose fusarium wilt others also working disease resistant varieties j crall university florida produced jubilee c v hall kansas state university produced crimson sweet following year longer grown great extent lineage developed hybrid varieties higher yields better flesh quality attractive appearance another objective plant breeders elimination seeds occur scattered throughout flesh achieved use triploid varieties sterile cost producing seed crossing tetraploid parent normal diploid parent high today farmers approximately states united states grow watermelon commercially georgia florida texas california arizona united states largest watermelon producers florida producing watermelon state common fruit often large enough groceries often sell half quarter melons smaller spherical varieties watermelon red yellow fleshed sometimes called icebox melons largest recorded fruit grown tennessee weighed kilograms pounds global production watermelons million tonnes china alone accounting total secondary producers included iran turkey brazil watermelon sweet commonly consumed fruit summer usually fresh slices diced mixed fruit salads juice watermelon juice blended fruit juices made wine seeds nutty flavor dried roasted ground flour china seeds eaten chinese new year celebrations vietnamese culture watermelon seeds consumed vietnamese new year holiday snack watermelon rinds may eaten unappealing flavor may overcome pickling sometimes eaten vegetable stir fried stewed oklahoma state senate passed bill declaring watermelon official state vegetable controversy whether vegetable fruit citrullis lanatus variety caffer grows wild kalahari desert known tsamma fruits used san people wild animals water nourishment allowing survival diet tsamma six weeks watermelon fruit water contains sugars low fat table gram serving watermelon fruit supplies calories kj low amounts essential nutrients see table vitamin c present appreciable content daily value table watermelon pulp contains carotenoids including lycopene amino acid citrulline produced watermelon rind watermelon cubes watermelons black rind india watermelon flowers watermelon leaf flower stems male female watermelon blossoms showing ovary female watermelon plant close watermelon baller watermelon yellow flesh moon stars watermelon cultivar watermelon fruit boris kustodiev merchant wife watermelon sale watermelon sale maa kochilei market rasulgarh odisha india watermelon grown buryatia siberia watermelon rind curry roasted salted watermelon seeds
Recipes,b'https://www.delish.com/cooking/recipe-ideas/g2883/watermelon-recipes/',delish editors handpick every product feature may earn money links page watermelon ftw drinks dessert ideas main dishes apps eat summer watermelon every course genius recipes boozy fruit counts daily serving right get recipe delish refreshing ice cream ever get recipe delish buy pyrex loaf pan amazon com salad made summer get recipe delish booze eat get recipe delish tastes like childhood get recipe delish officially cutest way eat watermelon get recipe delish buy cuisinart classic chef knife amazon com refreshing cocktail like slice watermelon glass get recipe delish ultimate summer snack arrived get recipe delish mix riff favorite tropical cocktail get recipe delish summer stick get recipe delish simple steak salad combo classy enough summer dinner party get recipe delish buy le creuset cast iron grill pan amazon comstep aside fruit salads get recipe delish nothing helps shrimp go like heaping plate watermelon salad get recipe delish might refreshing cocktail planet get recipe delish watermelon cucumber refreshing combo get recipe delish stupid easy recipe requires ice frozen watermelon cubes job know kinds game changing get recipe delish recipe uses half watermelon use half make boozy slushies enjoy slice get recipe delish lighter ice cream less delicious get recipe delish buy black decker food processor amazon comadd list things never thought see get recipe delish frozen boozy fruity get recipe delish buy nordic ware baking sheets amazon comwhy cantaloupe monopoly prosciutto get recipe delish watermelon helps sweeten peppery arugula get recipe delish watermelon juicy need chug glass water eating something spicy genius totally get recipe delish edible shot glass waiting get recipe delish buy cuisinart classic chef knife amazon com pink green like fruit rind adorbs get recipe delish swap tomatoes watermelon waiting tomato season start never wait caprese summer get recipe delish turned watermelon giant cocktail thank us later get recipe delish made greek yogurt code eat many want get recipe chocolate moosey summer answer bread bowl get recipe craftberry bush loving school snack vibes get recipe domestically blissful
Recipes,b'https://www.fifteenspatulas.com/how-to-pick-a-superstar-watermelon/',site owner manage site please whitelist ip think block error please open support ticket make sure include block details displayed box assist troubleshooting issue
Recipes,b'https://www.almanac.com/plant/watermelons',need scrape almanac com get bulk weather history data free available cost much easily global surface summary day questions email yankee publishing com
Nutrition & Health Benefits,b'https://www.livescience.com/46019-watermelon-nutrition.html',jessie szalay live science contributor may watermelons mostly water percent refreshing fruit soaked nutrients juicy bite significant levels vitamins b6 c lots lycopene antioxidants amino acids even modest amount potassium plus quintessential summer snack fat free low sodium calories per cup foods high antioxidants amino acids allow body function optimally said angela lemond plano texas based registered dietitian nutritionist spokesperson academy nutrition dietetics antioxidants help prevent damage cancer amino acids basic building block protein protein used virtually every vital function body scientists taken notice watermelon high lycopene levels milligrams per cup serving according national watermelon promotion board highest levels type fresh produce lycopene phytonutrient naturally occurring compound fruits vegetables reacts human body trigger healthy reactions also red pigment gives watermelons tomatoes red grapefruits guavas color lycopene linked heart health bone health prostate cancer prevention also powerful antioxidant thought anti inflammatory properties according victoria jarzabkowski nutritionist fitness institute texas university texas austin really maximize lycopene intake let watermelon fully ripen redder watermelon gets higher concentration lycopene becomes beta carotene phenolic antioxidant content also increase watermelon ripens beta carotene antioxidant found red orange fruits vegetables helps immunity skin eye prevention cancer said lemond study journal food composition analysis investigated five types watermelon four stages ripening found unripe watermelon primarily white flesh nearly zero beta carotene time fully red fruit become excellent source phytonutrient mean red parts good ones parts watermelon good lot nutrients throughout said jarzabkowski includes white flesh nearest rind contains amino acid citrulline flesh according study journal chromatography citrulline valuable amino acid converts amino acid arginine amino acids promote blood flow leading cardiovascular health improved circulation according research texas university erectile dysfunction improvement probably eat lot fruit get viagra like effect though recent studies found watermelon seeds also wonderfully nutritious especially sprouted shelled high protein magnesium vitamin b good fats according analysis international journal nutrition food sciences nutrition facts watermelon according u food drug administration regulates food labeling national labeling education act serving size cups diced oz g calories calories fat amount per serving dv percent daily values dv based calorie diet total fat 0g total carbohydrate 21g dietary fiber 1g sugars 20gcholesterol 0mg sodium 0mg potassium 270mg protein 1gvitamin vitamin c calcium iron heart healthwatermelon high levels lycopene effective protecting cells damage may help lower risk heart disease according study purdue university study published american journal hypertension found watermelon extracts helped reduce hypertension lower blood pressure obese adults watermelon may especially important older women study published menopause found postmenopausal women group known increased aortic stiffness took watermelon extract six weeks saw decreased blood pressure arterial stiffness compared take watermelon extract authors study attributed benefits citrulline arginine arginine help improve blood flow may help reduce accumulation excess fat anti inflammatory properties lycopene watermelon makes anti inflammatory fruit jarzabkowski said lycopene inhibitor various inflammatory processes also works antioxidant neutralize free radicals additionally watermelon contains choline helps keep chronic inflammation according article published shock medical journal reducing inflammation good people suffering arthritis sick cellular damage caused variety factors including stress smoking pollution disease body becomes inflamed jarzabkowski said called systemic inflammation way anti inflammatory foods help overall immunity general health hydration watermelons help overall hydration great thing said lemond say get percent fluid needs diet alone foods like certainly help additionally juice full good electrolytes even help prevent heat stroke digestionthe watermelon contains fiber encourages healthy digestive tract helps keep regular skin hair benefitsvitamin stellar skin cup watermelon contains nearly one quarter recommended daily intake vitamin helps keep skin hair moisturized also encourages healthy growth new collagen elastin cells according cleveland clinic vitamin c also beneficial regard promotes healthy collagen growth muscle soreness athletic performancewatermelon loving athletes luck drinking watermelon juice intense workout helps reduce next day muscle soreness heart rate according study published journal agricultural food chemistry attributed watermelon amino acids citrulline arginine help improve circulation study published journal applied physiology suggests watermelon citrulline may also help improve athletic performance study participants took citrulline supplements saw boosted performance power production high intensity exercise like cycling sprinting cancer preventionlike fruits vegetables watermelons may helpful reducing risk cancer antioxidant properties lycopene particular linked reducing prostate cancer cell proliferation according national cancer institute health risksif eaten reasonable amounts watermelons produce serious side effects eat abundance fruit daily however may experience problems much lycopene potassium consumption mg lycopene daily could potentially cause nausea diarrhea indigestion bloating according american cancer society people serious hyperkalemia much potassium blood probably consume one cup watermelon day less mg potassium according national institutes health hyperkalemia result irregular heartbeats cardiovascular problems well reduced muscle control loading water dense foods like watermelon tempting looking lose weight help feel full lemond cautions going extremes eating fruits vegetables kind naturally helps decrease overall calories energy diet said know people eat higher quantities fruits vegetables typically healthier body weights however recommend eating watermelon lose weight weight mostly muscle jarzabkowski also warned watermelon lovers mindful sugar intake though watermelon sugar naturally occurring watermelon still relatively high sugar recommendation always vary selections said lemond watermelon great hydrating food keep along plant foods offer benefits variety always key watermelon factssome fun facts watermelons national watermelon promotion board science kids watermelon citrullus lanatus related cucumbers pumpkins squash watermelon probably originated kalahari desert africa egyptians placed watermelons burial tombs kings nourish afterlife first recorded watermelon harvest depicted egyptian hieroglyphics years ago merchants spread use watermelons along mediterranean sea 10th century watermelons found way china world top producer watermelons moors 13th century brought watermelons europe watermelon likely made way united states african slaves early explorers used watermelons canteens first cookbook published united states contained recipe watermelon rind pickles varieties grown united states mexico varieties popular weight watermelon consumed melon united states followed cantaloupe honeydew watermelon official state vegetable oklahoma parts watermelon eaten even rind guinness world records says world heaviest watermelon grown lloyd bright arkadelphia arkansas weighed lbs kg united states ranks fifth worldwide production watermelons forty four states grow watermelons florida texas california georgia arizona leading country production seedless watermelon sterile hybrid created crossing male pollen watermelon containing chromosomes per cell female watermelon flower chromosomes per cell seeded fruit matures small white seed coats inside contain chromosomes rendering sterile incapable producing seeds stay date coronavirus outbreak signing newsletter today thank signing live science receive verification email shortly problem please refresh page try live science part future us inc international media group leading digital publisher visit corporate site future us inc west 42nd street 15th floor new york ny
Nutrition & Health Benefits,b'https://www.healthline.com/nutrition/watermelon-health-benefits',watermelon delicious refreshing fruit also good contains calories per cup high vitamin c vitamin many healthy plant compounds top health benefits eating watermelon drinking water important way keep body hydrated however eating foods high water content also help interestingly watermelon water high water content one reasons fruits vegetables help feel full combination water fiber means eating good volume food without lot calories far fruits go watermelon one lowest calories calories per cup grams lower even low sugar fruits berries one cup grams watermelon many nutrients well including vitamins minerals watermelon also high carotenoids including beta carotene lycopene plus citrulline important amino acid overview watermelon important antioxidants vitamin c antioxidant helps prevent cell damage free radicals carotenoids class plant compounds includes alpha carotene beta carotene body converts vitamin lycopene type carotenoid change vitamin potent antioxidant gives red color plant foods tomatoes watermelon linked many health benefits cucurbitacin e plant compound antioxidant anti inflammatory effects bitter melon relative watermelon contains even cucurbitacin e researchers studied lycopene individual plant compounds watermelon anti cancer effects though lycopene intake associated lower risk types cancer study results mixed strongest link far seems lycopene cancers digestive system appears reduce cancer risk lowering insulin like growth factor igf protein involved cell division high igf levels linked cancer addition cucurbitacin e investigated ability inhibit tumor growth heart disease number one cause death worldwide lifestyle factors including diet may lower risk heart attack stroke reducing blood pressure cholesterol levels several nutrients watermelon specific benefits heart health studies suggest lycopene may help lower cholesterol blood pressure also help prevent oxidative damage cholesterol according studies obese postmenopausal women finnish men lycopene may also reduce stiffness thickness artery walls watermelon also contains citrulline amino acid may increase nitric oxide levels body nitric oxide helps blood vessels expand lowers blood pressure vitamins minerals watermelon also good heart include vitamins b6 c magnesium potassium inflammation key driver many chronic diseases watermelon may help lower inflammation oxidative damage rich anti inflammatory antioxidants lycopene vitamin c study lab rats fed watermelon powder supplement unhealthy diet compared control group developed lower levels inflammatory marker c reactive protein less oxidative stress earlier study humans given lycopene rich tomato juice added vitamin c overall markers inflammation went antioxidants went watermelon lycopene vitamin c antioxidant lycopene may also benefit brain health example may help delay onset progression alzheimer disease lycopene found several parts eye helps protect oxidative damage inflammation may also prevent age related macular degeneration amd common eye problem cause blindness older adults lycopene role antioxidant anti inflammatory compound may help prevent amd developing getting worse information keep eyes healthy consider reading important vitamins eye health citrulline amino acid watermelon may reduce muscle soreness also available supplement interestingly watermelon juice appears enhance absorption citrulline one small study gave athletes plain watermelon juice watermelon juice mixed citrulline citrulline drink watermelon drinks led less muscle soreness quicker heart rate recovery compared citrulline researchers also conducted test tube experiment investigating absorption citrulline findings suggest citrulline absorption effective consumed component watermelon juice research also looked citrulline potential improve exercise endurance performance far citrulline seem improve exercise performance amounts studied still area research interest two vitamins watermelon c important skin hair health vitamin c helps body make collagen protein keeps skin supple hair strong vitamin also important healthy skin since helps create repair skin cells without enough vitamin skin look dry flaky lycopene beta carotene may also help protect skin sunburn watermelon contains lots water small amount fiber important healthy digestion fiber provide bulk stool water helps keep digestive tract moving efficiently eating water rich fiber rich fruits vegetables including watermelon helpful promoting normal bowel movements watermelon surprisingly healthy fruit high water content also delivers many important nutrients including lycopene vitamin c nutrients mean watermelon tasty low calorie treat also good health find watermelon work like viagra treat erectile dysfunction ed diabetes watching eat crucial fruits loaded natural sugars tricky know watermelon much nutrition get watermelon seeds depends many eat small need eat quite get benefits possible benefits watermelon rind include better heart health even better time bed eating fruit boost health help prevent disease healthiest fruits earth backed science watching sugar intake dietary reasons diabetes often surprised much sugar contained even watermelon diet help lose weight reduce inflammation cleanse body toxins least according internet chatter evidence based review watermelon detailed information health benefits nutrient content plant compounds watermelon staple summer though rare possible allergic watermelon need know recognize watermelon watermelon refreshing treat safe babies little one start eat watermelon serve
Science  Articles,b'https://www.sciencedirect.com/topics/medicine-and-dentistry/watermelon',please contact us via support center information provide details reference number 586405819dc1b9a4 ip address timestamp website using security service protect online attacks sciencedirect shopping cart contact supportterms conditionsprivacy policywe use cookies help provide enhance service tailor content ads continuing agree use cookies copyright elsevier b v licensors contributors sciencedirect registered trademark elsevier b v
Science  Articles,b'https://en.wiktionary.org/wiki/watermelon',1610s compound water melon watermelon countable uncountable plural watermelons
Science  Articles,b'https://www.rareseeds.com/store/vegetables/watermelon',javascript seems disabled browser best experience site sure turn javascript browser cook watermelon recipes heregrow watermelon growing tips heremissouri address2278 baker creek road mansfield mo 65704missouri seed store hoursmon fri 00am 00pm closed saturday sunday 00am 00pmphone 8917call center hoursmon fri 00am 00pmemailseeds com sign e newsletteron north american ordersit safe easy new content weekly
Recipes,b'https://www.youtube.com/watch?v=X793Uy8qMcQ',loading loading loading working loading working loading loading working sign report inappropriate content loading loading everything need know growing watermelons hopeyou try rewarding super delicious inthis episode discuss planting watermelon temperatures nutrientrequirements fertilizing trellis trellis watermelon andwatering requirements enjoy send mail po box marysville mi varieties heirloom non gmo vegetable seeds pack fertilizer garden tools blog http www migardener comfacebook http www facebook com migardenerinstagram http instagram com migardenerg http plus google com migardenerpinterest http www pinterest com migardeneryt twitter http twitter com mi gardenertumblr http tumblr com migardener loading loading loading loading loading working loading playlists
