link,headline
b'https://www.apple.com/',b'Apple'
b'https://support.apple.com/',b'Official Apple Support'
b'https://www.apple.com/iphone/',b'iPhone - Apple'
b'https://en.wikipedia.org/wiki/Apple_Inc.',b'Apple Inc. - Wikipedia'
b'https://www.apple.com/watch/',b'Watch - Apple'
b'https://developer.apple.com/',b'Apple Developer'
b'https://www.apple.com/ipad/',b'iPad - Apple'
b'https://jobs.apple.com/en-us/search?location=united-states-USA',b'United States - Jobs at Apple'
b'https://investor.apple.com/investor-relations/default.aspx',b'Apple - Investor Relations'
b'https://www.youtube.com/user/Apple',b'Apple - YouTube'
b'https://www.instagram.com/apple/?hl=en',b'@apple \xe2\x80\xa2 Instagram photos and videos'
b'https://checkcoverage.apple.com/',b'Check Your Service and Support Coverage - Apple Support'
b'https://finance.yahoo.com/quote/AAPL?p=AAPL',"b'Apple Inc. (AAPL) Stock Price, Quote, History & News - Yahoo Finance'"
b'https://selfsolve.apple.com/deregister-imessage/',b'Deregister and Turn Off iMessage - Apple Support'
b'https://fortune.com/fortune500/2019/apple/',b'Apple | Fortune'
b'https://www.applefcu.org/',"b""Home | Apple Federal Credit Union - Northern Virginia's Local Credit ..."""
b'https://www.marketwatch.com/investing/stock/aapl',b'AAPL Stock Price | Apple Inc. Stock Quote (U.S.: Nasdaq ...'
b'https://www.icloud.com/',b'iCloud'
b'https://play.google.com/store/apps/details?id=com.apple.android.music&hl=en_US',b'Apple Music - Apps on Google Play'
b'https://www.newyorker.com/magazine/2020/03/23/fiona-apples-art-of-radical-sensitivity',"b""Fiona Apple's Art of Radical Sensitivity | The New Yorker"""
b'https://www.applebank.com/',b'Apple Bank | New York Bank | Personal & Business Banking'
b'https://www.theverge.com/apple',b'Apple - The Verge'
b'https://www.macrumors.com/',b'MacRumors: Apple Mac iPhone Rumors and News'
b'https://www.nytimes.com/2020/02/17/technology/apple-coronavirus-economy.html',"b""Apple Signals Coronavirus's Threat to Global Businesses - The New ..."""
b'https://www.cnbc.com/2020/02/17/apple-warns-on-coronavirus-it-wont-meet-revenue-guidance-because-of-constrained-iphone-supply-and-suppressed-demand-in-china.html',b'Coronavirus: Apple warns on revenue guidance due to iPhone ...'
b'https://www.healthline.com/nutrition/6-proven-health-benefits-of-apple-cider-vinegar',b'6 Proven Benefits of Apple Cider Vinegar'
b'https://robinhood.com/stocks/AAPL',b'AAPL Stock Price Quote & News - Apple | Robinhood'
b'https://www.verizonwireless.com/smartphones/apple/',b'Apple Smartphones | Verizon Wireless'
b'https://www.morningstar.com/stocks/xnas/aapl/quote',b'Apple Inc (AAPL) Quote | Morningstar'
b'https://www.forbes.com/sites/gordonkelly/2020/04/18/apple-iphone-2020-design-changes-display-update-iphone-12-iphone-11-pro-max-upgrade/',"b""Apple's Radical New iPhone Suddenly Takes Shape"""
b'https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/dp/B07PXGQC1Q',b'Apple AirPods with Charging Case - Amazon.com'
