link,headline
b'https://en.wikipedia.org/wiki/Apple',b'Apple - Wikipedia'
b'https://www.healthline.com/nutrition/10-health-benefits-of-apples',b'10 Impressive Health Benefits of Apples'
b'https://www.medicalnewstoday.com/articles/267290',"b'Apples: Benefits, nutrition, and tips'"
b'https://www.hsph.harvard.edu/nutritionsource/food-features/apples/',b'Apples | The Nutrition Source | Harvard T.H. Chan School of Public ...'
b'https://www.apple.com/',b'Apple'
b'https://www.livescience.com/44686-apple-nutrition-facts.html',"b'Apples: Health Benefits, Risks & Nutrition Facts | Live Science'"
b'http://applesmarket.com/',b'Apples Market Lorain County Ohio'
b'https://www.newyorker.com/magazine/2020/03/23/fiona-apples-art-of-radical-sensitivity',"b""Fiona Apple's Art of Radical Sensitivity | The New Yorker"""
b'https://www.apple.com/ipad/',b'iPad - Apple'
b'https://developer.apple.com/',b'Apple Developer'
b'https://support.apple.com/',b'Official Apple Support'
b'https://checkcoverage.apple.com/',b'Check Your Service and Support Coverage - Apple Support'
b'https://www.arcticapples.com/',b'Arctic\xc2\xae apples - Distinctly nonbrowning apples'
b'https://finance.yahoo.com/quote/AAPL/',"b'Apple Inc. (AAPL) Stock Price, Quote, History & News - Yahoo Finance'"
b'https://www.instagram.com/apple/?hl=en',b'@apple \xe2\x80\xa2 Instagram photos and videos'
b'https://support.apple.com/en-us/HT201232',b'Contact Apple for support and service - Apple Support'
b'https://apnews.com/4b08b6e30cbe37697120466d56f294a5',b'10 pioneer-era apple types thought extinct found in US West'
b'https://www.youtube.com/user/Apple',b'Apple - YouTube'
b'https://www.marketwatch.com/investing/stock/aapl',b'AAPL Stock Price | Apple Inc. Stock Quote (U.S.: Nasdaq ...'
b'https://beta.apple.com/',b'Apple Beta Software Program'
b'https://www.gurneys.com/category/apple-trees',"b""Apple Trees for Sale at Gurney's Seed and Nursery Co"""
b'http://www.energychoice.ohio.gov/ApplesToApplesCategory.aspx?Category=Electric',b'Apples to Apples: Electric'
