link,headline
b'https://apricot.socialsolutions.com/',b'Apricot'
b'https://en.wikipedia.org/wiki/Apricot',b'Apricot - Wikipedia'
b'https://www.merriam-webster.com/dictionary/apricot',b'Apricot | Definition of Apricot by Merriam-Webster'
b'https://www.socialsolutions.com/software/apricot/',b'Apricot - Nonprofit Case Management Software | Social Solutions'
b'https://en.wiktionary.org/wiki/apricot',b'apricot - Wiktionary'
b'https://www.dictionary.com/browse/apricot',b'Apricot | Definition of Apricot at Dictionary.com'
b'https://www.wildapricot.com/',b'Wild Apricot | #1 Membership Management Software Award (6 years ...'
b'https://www.apricot.net/',b'APRICOT'
b'https://www.apricotlanefarms.com/',b'Apricot Lane Farms'
b'https://www.britannica.com/plant/apricot',b'Apricot | tree and fruit | Britannica'
b'https://apricotlaneboutique.com/',b'Apricot Lane Boutique: The Leading Fashion Boutique'
b'https://www.clifbar.com/products/clif/clif-bar/apricot',b'CLIF BAR\xc2\xae: Apricot'
b'https://github.com/jmschrei/apricot',b'jmschrei/apricot: apricot implements submodular ... - GitHub'
b'https://www.pyramidbrew.com/beers/apricot-ale/',b'Apricot Ale | Pyramid Brewing Co.'
b'https://sharegate.com/products/sharegate-apricot',b'ShareGate Apricot - Automated governance for Microsoft Teams ...'
b'https://www.healthline.com/nutrition/apricots-benefits',b'9 Health and Nutrition Benefits of Apricots'
b'https://www.amazon.com/CLIF-BAR-Energy-Apricot-Protein/dp/B001N2GRX8',b'CLIF BAR - Energy Bars - Apricot - (2.4 Ounce Protein ... - Amazon.com'
b'https://www.apricotvideomarketing.com/',b'Video Marketing Agency based in Nottingham - Apricot'
b'https://stardewvalleywiki.com/Apricot',b'Apricot - Stardew Valley Wiki'
b'https://login.apricotsoftware.co.uk/',b'Apricot'
b'https://apricot.blender.org/',b'Yo Frankie! \xe2\x80\x93 Apricot Open Game Project'
b'https://apricothotels.com/',b'Apricot Hotel: Homepage'
b'https://www.destihl.com/apricot.html',b'Apricot | DESTIHL Brewery'
b'http://ipm.ucanr.edu/PMG/selectnewpest.apricots.html',b'Apricot Pest Management Guidelines--UC IPM'
b'https://www.apricotdesigns.com/',b'Apricot Designs'
b'https://www.apricotonline.co.uk/',"b""Apricot Women's Fashion Clothing & Accessories | Apricot"""
b'https://open.spotify.com/album/2NBVxjZcbH5H1N1Ab2ExDH',b'Apricot Princess by Rex Orange County on Spotify'
b'https://troegs.com/beer/apricot-farmette/',b'Apricot Farmette - Tr\xc3\xb6egs Independent Brewing'
b'https://intercom.help/apricot-articles/en/',b'Apricot Articles'
b'https://vimeo.com/8076064',b'APRICOT \xe2\x80\x94 A Short Film by Ben Briand on Vimeo'
b'https://www.apricotirving.com/',b'Apricot A. Irving'
b'https://apricotchildren.org/',b'APRICOT CHILDREN'
b'https://www.youtube.com/watch?v=EDXHYVgPF3k',b'Apricot Princess - YouTube'
b'https://www.harney.com/products/apricot',b'Apricot Tea | Flavored Black Tea - Harney & Sons Fine Teas'
b'https://www.adagio.com/flavors/apricot.html',b'Apricot Tea'
b'https://apricotsunfoodbar.com/',b'Apricot Sun - Mediterranean Food Bar'
b'https://designapricot.com/',b'Apricot Floral Design'
b'https://www.essie.com/nail-care/apricot-cuticle-oil',b'Apricot Cuticle Oil - Nail & Cuticle Care - essie'
b'https://croftersorganic.com/product/premium-apricot/',"b""Organic Apricot Jam | Crofter's Organic"""
b'https://apricotstonephilly.com/',b'Apricot Stone'
b'https://2020.apricot.net/',b'APRICOT 2020: Home'
b'https://www.pickuplimes.com/single-post/2020/03/30/Eggplant-Lentil-Apricot-Curry',b'Eggplant & Lentil Apricot Curry'
b'https://personifycorp.com/products/wild-apricot',b'Wild Apricot | Personify Corp'
b'https://apricotyarn.com/',b'Apricot Yarn & Supply'
b'https://www.averybrewing.com/beers/apricot-sour',b'Apricot Sour | Avery Brewing Co.'
b'https://floridadep.gov/water/domestic-wastewater/content/florida-apricot-act-1994',b'The Florida APRICOT Act of 1994 | Florida Department of ...'
b'https://gethelp.wildapricot.com/',b'Wild Apricot Help - What can we help you with?'
b'https://apricotcomputers.com/',"b'APRICOT COMPUTERSApricot: The high-tech juicy brand, since 1965'"
b'https://arxiv.org/abs/1906.03543',b'apricot: Submodular selection for data summarization in Python'
b'https://dixiebellepaint.com/apricot-chalk-paint/',b'Apricot Chalk Paint (Light Pink)'
b'https://www.agoda.com/apricot-hotel/hotel/hanoi-vn.html',"b'Apricot Hotel in Hanoi - Room Deals, Photos & Reviews'"
b'https://www.chobani.com/products/fruit-on-the-bottom/cup/apricot/',b'Fruit on the Bottom Greek Yogurt | Apricot Cup | Chobani\xc2\xae'
b'https://wordpress.org/themes/apricot/',b'Apricot - WordPress theme | WordPress.org'
b'https://help.socialsolutions.com/en/collections/1594527-apricot',b'Apricot | Social Solutions Help Center'
b'http://www.apricotdesigns.com/products_automation.htm',b'Apricot Designs Automation'
b'https://www.target.com/p/st-ives-fresh-skin-face-scrub-apricot-6oz/-/A-11185895',b'St. Ives Fresh Skin Face Scrub - Apricot - 6oz : Target'
b'https://peoria.shopalb.com/',"b""Apricot Lane Boutique Peoria | Dresses, Accessories & Women's ..."""
b'https://www.shoptiques.com/boutiques/Apricot-Lane-Duluth',b'Shop Online from Apricot Lane - Duluth - Shoptiques'
b'https://www.wood-database.com/apricot/',b'Apricot | The Wood Database - Lumber Identification (Hardwood)'
b'https://untappd.com/b/destihl-brewery-wild-sour-series-apricot/1516656',b'Wild Sour Series: Apricot - DESTIHL Brewery - Untappd'
b'https://untappd.com/b/destihl-brewery-wild-sour-series-apricot/1516656',b'Wild Sour Series: Apricot - DESTIHL Brewery - Untappd'
b'http://www.apricotking.com/',b'ApricotKing - Dried California Blenheim Apricots'
b'http://southlaketownsquare.com/shop/apricot-lane-opening-soon/',b'Apricot Lane Southlake Town Square'
b'https://www.ncbi.nlm.nih.gov/pubmed/28363725',b'Incidence of severe critical events in paediatric anaesthesia ...'
b'https://nekoatsume.fandom.com/wiki/Apricot',b'Apricot | Neko Atsume Wiki | Fandom'
b'https://2016.apricot.net/',b'APRICOT 2016: Home'
b'https://www.instagram.com/apricotlanefarms/?hl=en',b'Apricot Lane Farms (@apricotlanefarms) \xe2\x80\xa2 Instagram photos and ...'
b'https://thefermentorium.com/beer/apricot-juice-packets/',b'Apricot Juice Packets | The Fermentorium'
b'https://2018.apricot.net/',b'| APRICOT 2018'
b'https://support.wildapricot.com/hc',b'Wild Apricot'
b'https://2019.apricot.net/',b'| APRICOT 2019'
b'https://www.nature.com/articles/s41438-019-0215-6',b'The apricot ( Prunus armeniaca L.) genome elucidates Rosaceae ...'
b'https://nuts.com/driedfruit/apricots/',b'Apricots \xe2\x80\x94 Dried Fruit \xe2\x80\x94 Nuts.com'
b'https://www.apricotpower.com/category/2-Apricot-Seeds',"b'Apricot Seeds, Supplements & Products | Apricot Power | Apricot ...'"
b'https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/apricot',b'Apricot | ASPCA'
