link,headline
b'https://en.wikipedia.org/wiki/Apricot',b'Apricot - Wikipedia'
b'https://www.healthline.com/nutrition/apricots-benefits',b'9 Health and Nutrition Benefits of Apricots'
b'http://www.whfoods.com/genpage.php?tname=foodspice&dbid=3',b'Apricots'
b'https://www.amazon.com/Mariani-Premium-Dried-Ultimate-Apricots/dp/B002866SRS',b'Mariani - Ultimate Apricots (48oz - Pack of 1) - Good source of ...'
b'https://nuts.com/driedfruit/apricots/',b'Apricots \xe2\x80\x94 Dried Fruit \xe2\x80\x94 Nuts.com'
b'https://extension.usu.edu/canning/ou-files/FN-2004-Harvest-02.pdf',b'canning apricots'
b'https://www.apricotpower.com/blog/8-Surprising-Benefits-of-Dried-Apricots',b'8 Surprising Benefits of Dried Apricots | Apricot Power'
b'http://www.apricotking.com/',b'ApricotKing - Dried California Blenheim Apricots'
b'https://www.bonappetit.com/recipe/rice-with-parsley-almonds-and-apricots',"b'Greek Rice with Parsley, Almonds, and Apricots Recipe | Bon Appetit'"
b'http://www.apricotking.com/dried-california-apricots/',b'Dried California Apricots - Page 1 - ApricotKing'
b'https://snaped.fns.usda.gov/seasonal-produce-guide/apricots',b'Apricots | SNAP-Ed'
b'https://apricot.socialsolutions.com/',b'Apricot'
b'https://www.newyorker.com/magazine/2014/01/13/apricots',b'Apricots | The New Yorker'
b'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4864915/',"b'Three week dietary intervention using apricots, pomegranate juice ...'"
b'https://www.gearhartschocolates.com/products/dried_apricots',b'Dried Apricots \xe2\x80\x93 Gearharts Fine Chocolates'
b'https://www.wildapricot.com/',b'Wild Apricot | #1 Membership Management Software Award (6 years ...'
b'https://www.madeinnature.com/products/apricots-dried-fruit',b'Shop Organic Dried Apricots: 100% Unsulfured | Made In Nature'
b'https://www.ams.usda.gov/rules-regulations/moa/922-washington-apricots',b'922 Washington Apricots | Agricultural Marketing Service'
b'https://food.ndtv.com/opinions/8-apricot-benefits-the-nutritional-heavyweight-among-fruits-1248312',b'8 Amazing Benefits of Apricot (khubani): The Nutritional ...'
b'http://ipm.ucanr.edu/PMG/selectnewpest.apricots.html',b'Apricot Pest Management Guidelines--UC IPM'
b'https://www.nytimes.com/2013/07/08/health/apricots-to-savor-while-you-can.html',"b'Apricots to Savor, While You Can - The New York Times'"
b'https://www.kroger.com/p/kroger-probiotic-dried-apricots/0001111003260',"b'Kroger\xc2\xae Probiotic Dried Apricots, 6 oz - Kroger'"
b'https://www.agmrc.org/commodities-products/fruits/apricots',b'Apricots | Agricultural Marketing Resource Center'
b'https://nchfp.uga.edu/how/can_02/apricot_sliced.html',b'Apricots-Halved or Sliced'
b'https://www.heb.com/product-detail/h-e-b-dried-mediterranean-apricots/125734',b'H-E-B Dried Mediterranean Apricots - Shop Fruit at H-E-B'
b'https://www.samsclub.com/p/members-mark-apricots-26oz/prod22280063',"b""Member's Mark Dried Mediterranean Apricots (26 oz.) - Sam's Club"""
b'http://fruitandnuteducation.ucdavis.edu/fruitnutproduction/Apricot/',b'Apricot in California - Fruit & Nut Research & Information Center'
b'https://sincerelynuts.com/blogs/blog/the-health-benefits-of-dried-apricots',b'The Health Benefits of Dried Apricots'
b'https://www.brfarms.com/',"b'B & R Farms | Dried Apricots, Chocolates, Toppings, Recipes'"
b'https://www.npr.org/sections/thesalt/2016/06/14/481932829/moon-of-the-faith-a-history-of-the-apricot-and-its-many-pleasures',"b""'Moon Of The Faith:' A History Of The Apricot And Its Many Pleasures ..."""
b'https://www.instagram.com/explore/tags/apricots/?hl=en',b'#apricots hashtag on Instagram \xe2\x80\xa2 Photos and Videos'
b'https://www.merriam-webster.com/dictionary/apricot',b'Apricot | Definition of Apricot by Merriam-Webster'
b'https://www.bjs.com/product/wellsley-farms-gourmet-dried-apricots-40-oz/3000000000000200857',"b'Wellsley Farms Gourmet Dried Apricots, 40 oz. - BJs WholeSale Club'"
b'https://www.foodandwine.com/recipes/grilled-apricots-burrata-country-ham-and-arugula',"b'Grilled Apricots with Burrata, Country Ham and Arugula Recipe ...'"
b'https://www.medicalnewstoday.com/articles/apricot-benefits',b'Apricot: Health benefits and nutritional value'
b'https://www.walgreens.com/store/c/nice!-apricots-mediterranean-pouch/ID=prod6306585-product',b'Nice! Apricots Mediterranean Pouch | Walgreens'
b'https://stardewvalleywiki.com/Apricot',b'Apricot - Stardew Valley Wiki'
b'https://www.walmart.com/ip/Great-Value-Dried-Apricots-6-oz/10452488',"b'Great Value Dried Apricots, 6 oz - Walmart.com - Walmart.com'"
b'https://www.svvoice.com/its-time-to-pick-apricots-at-sunnyvales-orchard-heritage-park/',"b""It's Time to Pick Apricots at Sunnyvale's Orchard Heritage Park - The ..."""
b'https://www.thespruceeats.com/apricot-selection-and-storage-1807928',b'Apricot Selection and Storage'
b'https://www.thespruceeats.com/apricot-selection-and-storage-1807928',b'Apricot Selection and Storage'
b'https://apexart.org/exhibitions/akin-winchester.php',b'Apricots from Damascus :: Atif Akin and Dilek Winchester - apexart'
b'https://www.britannica.com/plant/apricot',b'Apricot | tree and fruit | Britannica'
b'https://www.producemarketguide.com/produce/apricots',b'Apricots | Produce Market Guide'
b'https://www.calorieking.com/us/en/foods/f/calories-in-fresh-fruits-apricots-raw/Oc5-wJW6Q4WVl4TZD-vExQ',"b'Calories in Apricots, raw | CalorieKing'"
b'https://www.froghollow.com/pages/apricots-and-apriums',b'Apricots and Apriums - Frog Hollow Farm'
b'https://www.dailydemocrat.com/apricot-crop-volume-may-exceed-demand',b'Apricot crop volume may exceed demand \xe2\x80\x93 Daily Democrat'
b'https://www.sunmaid.com/products/mediterranean-apricots/',b'Sun-Maid Mediterranean Apricots'
b'https://www.apricotlanefarms.com/',b'Apricot Lane Farms'
b'http://extension.msstate.edu/content/are-apricots-grown-mississippi',b'Are apricots grown in Mississippi? | Mississippi State University ...'
b'https://www.unece.org/fileadmin/DAM/trade/agr/standard/dry/dry_e/15_DriedApricots_E2016.pdf',b'UNECE STANDARD DDP-15 DRIED APRICOTS'
b'https://www.afius.org/resources/Documents/AFI%20Specifications/dried-apricots.pdf',b'AFI Specifications For Turkish Dried Apricots'
b'https://www.finecooking.com/article/the-dried-apricot-battle',b'The Dried Apricot Battle - Article - FineCooking'
b'https://www.ralphs.com/p/mariani-mediterranean-dried-apricots/0007102214009',"b'Mariani Mediterranean Dried Apricots, 6 oz - Ralphs'"
b'https://www.177milkstreet.com/recipes/chicken-tagine-with-apricots-butternut-squash-and-spinach',"b'Chicken Tagine with Apricots, Butternut Squash and Spinach ...'"
b'https://www.hsph.harvard.edu/nutritionsource/moroccan-chicken-stew-with-apricots/',b'Moroccan Chicken Stew with Apricots | The Nutrition Source ...'
b'https://www.26thmeu.marines.mil/News/News-Article-Display/Article/516281/apricots-aavs-no-happy-pair/',"b'Apricots, AAVs no happy pair > 26th Marine Expeditionary Unit ...'"
b'https://www.trainafoods.com/',"b'Traina Foods: Sun dried tomatoes, apricots, & other fruits'"
b'https://healthyeating.sfgate.com/health-benefits-dried-apricots-prunes-2372.html',b'Health Benefits of Dried Apricots and Prunes | Healthy Eating | SF ...'
b'https://twitter.com/hashtag/apricots?lang=en',b'#apricots hashtag on Twitter'
b'http://shop.mariani.com/probiotic-apricots/p/mar-2331212&c=mariani@orchardfruit',b'Probiotic Apricots | FREE 1-3 Day Delivery - Mariani'
b'https://www.gardeningknowhow.com/edible/fruits/apricots/apricot-tree-growing.htm',b'Apricot Tree Care - How To Grow Apricots At Home'
b'https://thrivemarket.com/p/thrive-market-organic-dried-apricot',b'Thrive Market Goods Organic Dried Apricots - Thrive Market'
b'https://www.seroogys.com/store/Signature-Gift-Boxes/Fruit/Apricots/',"b""Seroogy's \xc2\xbb Signature Gift Boxes \xc2\xbb Fruit \xc2\xbb Apricots"""
b'https://www.kingsoopers.com/p/mariani-ultimate-dried-apricots/0007102231479',"b'Mariani Ultimate Dried Apricots, 6 oz - King Soopers'"
b'https://ucanr.edu/datastoreFiles/391-603.pdf',b'Growing Apricots in California: An Overview'
b'https://www.realsimple.com/food-recipes/browse-all-recipes/bacon-wrapped-apricots-with-sage-recipe',b'Bacon-Wrapped Apricots with Sage Recipe | Real Simple'
b'https://cooking.nytimes.com/recipes/1012630-olive-oil-granola-with-dried-apricots-and-pistachios',b'Olive Oil Granola With Dried Apricots and Pistachios Recipe - NYT ...'
b'https://www.delmonte.com/products/fruits/apricots/apricot-halves',"b'Apricot Halves | Del Monte Foods, Inc.'"
b'https://shop.cumminsnursery.com/shop/apricot-trees',b'Apricots'
b'https://frans.com/chocolate-covered-apricots-champagne-box-champagne-ribbon-12-pieces/',b'Chocolate Covered Apricots'
b'https://www.newmansown.com/foods/mediterranean-apricots/',b'Dried Apricots'
b'https://compartes.com/products/chocolate-dipped-apricots',b'Gourmet Chocolate Dipped Apricots Gift Box\xe2\x80\x93 Compartes Gourmet ...'
