link,headline
b'https://en.wikipedia.org/wiki/Avocado',b'Avocado - Wikipedia'
b'https://www.healthline.com/nutrition/12-proven-benefits-of-avocado',b'12 Proven Health Benefits of Avocado'
b'https://www.avocadogreenmattress.com/',"b'Avocado Green Mattress: Organic Mattresses, Pillows & Bedding'"
b'https://www.medicalnewstoday.com/articles/270406',b'12 health benefits of avocado'
b'https://cleananddelicious.com/avocado-101/',b'Avocado 101 | Everything You Need To Know \xc2\xab Clean & Delicious'
b'https://shopavocado.com/',b'As You Are'
b'https://www.webmd.com/food-recipes/all-about-avocados',b'Everything You Need to Know About Avocados'
b'https://www.youtube.com/watch?v=GZwbhgS9fuc',b'Why Avocados Are So Expensive | So Expensive - YouTube'
b'https://www.californiaavocado.com/',"b'California Avocados - Nutrition, Recipes, Facts & More'"
b'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3664913/',b'Hass Avocado Composition and Potential Health Effects'
b'https://www.brit.co/avocados/',b'13 Ways You Never Thought to Eat an Avocado - Brit + Co'
b'https://www.avocadogrillwpb.com/',b'Avocado Grill'
b'https://avocadonext.com/',b'Local Grocery Store Near Me San Jose CA Grocery Delivery Avocado'
b'https://www.amazon.com/Tourangelle-Avocado-All-Natural-Artisanal-Vegetables/dp/B006K3RCPC',"b'La Tourangelle, Avocado Oil, 16.9 fl oz : Grocery ... - Amazon.com'"
b'https://emojipedia.org/avocado/',b'\xf0\x9f\xa5\x91 Avocado Emoji'
b'https://www.bonappetit.com/recipes/slideshow/40-avocado-recipes-so-you-can-eat-as-much-avocado-as-possible',"b'56 Avocado Recipes, So You Can Eat As Much of It As Possible ...'"
b'https://www.amazon.com/NOW-Solutions-Moisturizing-Nutrient-Hydrating/dp/B007XA49O8',"b'NOW Solutions, Avocado Oil, 100% Pure Moisturizing ... - Amazon.com'"
b'https://www.jessicagavin.com/how-to-cut-an-avocado/',b'How to Cut an Avocado - Jessica Gavin'
b'https://www.sephora.com/product/avocado-melt-retinol-eye-sleeping-mask-P447791',b'Avocado Melt Retinol Eye Sleeping Mask - Glow Recipe | Sephora'
b'https://www.instagram.com/explore/tags/avocado/?hl=en',b'#avocado hashtag on Instagram \xe2\x80\xa2 Photos and Videos'
b'https://www.chilis.com/menu/sandwiches/bacon-avocado-grilled-chicken-sandwich',"b""Bacon Avocado Grilled Chicken Sandwich - Grill & Bar Menu | Chili's"""
b'https://loveonetoday.com/',b'Avocado Nutritional Information - Health Benefits of Avocado'
b'https://avocado-framework.github.io/',b'Avocado Testing Framework'
b'https://cookieandkate.com/avocado-toast-recipe/',b'Avocado Toast Recipe (Plus Tips & Variations) - Cookie and Kate'
b'https://mott50.com/product-category/avocado/',b'Avocado Collection | Mott50'
b'https://en.wiktionary.org/wiki/avocado',b'avocado - Wiktionary'
b'https://www.kaggle.com/neuromusic/avocado-prices',b'Avocado Prices | Kaggle'
b'https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1843/2',"b'Avocados, raw, all commercial varieties Nutrition Facts & Calories'"
b'http://www.whfoods.com/genpage.php?tname=foodspice&dbid=5',b'Avocados'
b'https://avofest.com/',"b'California Avocado Festival in Carpinteria, California near ...'"
b'https://money.cnn.com/2017/05/15/news/millennials-home-buying-avocado-toast/index.html',b'Millionaire to millennials: Lay off the avocado toast if you want a house'
b'https://compartes.com/products/california-avocado-chocolate-bar',b'Avocado Chocolate Bar by Compartes Chocolates\xe2\x80\x93 Compartes ...'
b'https://www.10news.com/news/coronavirus/woman-worried-for-sister-at-avocado-post-acute-facility-who-has-roommate-with-covid-19',b'Woman worried for sister at Avocado Post Acute facility who has ...'
b'https://inhabitat.com/how-to-grow-an-avocado-tree-from-an-avocado-pit/',b'HOW TO: Grow an Avocado Tree from Seed'
b'https://www.loveandlemons.com/avocado-recipes/',b'54 Avocado Recipes for Every Meal - Love and Lemons'
b'https://snaped.fns.usda.gov/seasonal-produce-guide/avocados',b'Avocados | SNAP-Ed'
b'https://www.merriam-webster.com/dictionary/avocado',b'Avocado | Definition of Avocado by Merriam-Webster'
b'https://www.washingtonpost.com/news/food/wp/2017/05/15/dont-mess-with-millennials-avocado-toast-the-internet-fires-back-at-a-millionaire/',"b""Avocado toast is why millennials can't afford to buy houses ..."""
b'https://www.target.com/p/avocado-each/-/A-47095644',b'Avocado - Each : Target'
b'https://www.theguardian.com/lifeandstyle/shortcuts/2017/may/10/avocado-hand-why-the-fruit-has-become-a-health-hazard',b'Avocado hand: why the fruit has become a health hazard | Food ...'
b'https://hassavocadoboard.com/',b'Hass Avocado Board: Home'
b'https://latourangelle.com/product/avocado-oil/',b'Avocado Oil | Artisan Oils | Organic | La Tourangelle'
b'https://techcrunch.com/2012/06/20/avocado-mobile-app-for-couples/',"b'Ex-Googlers Launch Avocado, An App For Couples Backed By ...'"
b'https://avocadosmexican.com/',b'Avocados Mexican Restaurant \xe2\x80\x93 Healthy & Fresh Mexican Food'
b'https://www.livescience.com/45209-avocado-nutrition-facts.html',"b'Avocados: Health Benefits, Risks & Nutrition Facts | Live Science'"
b'https://www.verywellfit.com/calories-in-an-avocado-3495640',b'Avocado Nutrition Facts and Health Benefits'
b'https://draxe.com/nutrition/avocado-benefits/',"b'Avocado Benefits, Nutrition Facts, Recipes and More - Dr. Axe'"
b'https://felixinstruments.com/food-science-instruments/portable-nir-analyzers/f-751-avocado-quality-meter/',b'F-751 Avocado Quality Meter | Tools for Applied Food Science ...'
b'http://www.pinkavocadocatering.com/',b'Pink Avocado Catering - Home: The finest catering company in Austin!'
b'https://www.dictionary.com/browse/avocado',b'Avocado | Definition of Avocado at Dictionary.com'
b'https://www.huffpost.com/entry/avocado-toast-upgrade_n_5158847',b'16 Avocado Toast Recipes That Will Instantly Upgrade Your Life ...'
