link,headline
b'https://www.almanac.com/plant/blackberries',"b'Blackberries: Planting, Growing, and Harvesting Blackberries | The ...'"
b'https://www.medicalnewstoday.com/articles/322052',b'6 benefits of blackberries for your health'
b'https://en.wikipedia.org/wiki/Blackberry',b'Blackberry - Wikipedia'
b'https://www.healthline.com/health/benefits-of-blackberries',"b""6 Blackberry Health Benefits You Can't Ignore"""
b'https://www.bbcgoodfood.com/howto/guide/health-benefits-blackberries',b'The health benefits of blackberries | BBC Good Food'
b'https://www.driscolls.com/berries/blackberries',"b""Blackberries | Driscoll's"""
b'https://www.youtube.com/watch?v=Gzx1j1b2tGE',b'How I Double My Blackberries Every Year! - YouTube'
b'https://www.gurneys.com/category/blackberry-plants',"b""Blackberries- Gurney's Blackberry Plants\xe2\x80\x94Sweet & Flavorful"""
b'https://www.cnn.com/2019/11/21/health/blackberries-hepatitis-a-outbreak-trnd/index.html',"b""Hepatitis A outbreak 'potentially linked' to blackberries from Fresh ..."""
b'http://counties.agrilife.org/galveston/files/2012/03/Fruit-Nut-Production-Blackberries.pdf',b'Blackberries'
b'https://www.facebook.com/theblackberries/',b'Blackberries - Home | Facebook'
b'https://www.kroger.com/p/berries-blackberries/0003338324000',"b'Berries - Blackberries, 6 oz - Kroger'"
b'https://www.strawberryhillusa.com/blackberries',b'Sweetest Blackberries in the Upstate | Strawberry Hill USA'
b'https://www.cdc.gov/hepatitis/outbreaks/2019/hav-berries/index.htm',b'Outbreak of Hepatitis A Virus Infections Linked to Fresh Blackberries'
b'https://www.amazon.com/Blackberries-Crystal-Wilkinson/dp/1612181171',"b'Blackberries, Blackberries: Crystal E. Wilkinson: 9781612181172 ...'"
b'https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1848/2',"b'Blackberries, raw Nutrition Facts & Calories'"
b'https://aggie-horticulture.tamu.edu/fruit-nut/files/2015/04/blackberries_2015.pdf',b'Blackberries'
b'https://foodfacts.mercola.com/blackberries.html',b'What Are Blackberries Good For? - Mercola.com'
b'https://www.fda.gov/food/outbreaks-foodborne-illness/outbreak-investigation-hepatitis-fresh-conventional-blackberries-december-2019',b'Fresh Conventional Blackberries (December 2019)'
b'https://www.calgiant.com/blackberries',b'Blackberries | California Giant Berry Farms'
b'https://www.blackberry.com/us/en',b'BlackBerry Official Home Page \xe2\x80\x93 Security Software & Services'
b'https://www.nwcb.wa.gov/pdfs/Blackberries_Jefferson.pdf',b'F A C T S H E E T BLACKBERRIES'
b'https://www.washingtonfarms.net/washingtonfarms-attractions/blackberries/',b'Blackberries | Pick your own berries | Washington Farms'
b'https://www.motherearthnews.com/organic-gardening/plant-low-maintenance-blackberries-zmaz07djzgoe',b'Plant Low-Maintenance Blackberries | MOTHER EARTH NEWS'
b'https://www.jaemorfarms.com/our-produce/blackberries/',b'Blackberry Farm | Fresh Balckberries | Jaemor Farms'
b'https://pickyourown.org/blackberries.htm',b'Blackberries: Blackberry Facts and Picking Tips'
b'https://snaped.fns.usda.gov/seasonal-produce-guide/blackberries',b'Blackberries | SNAP-Ed'
b'https://www.npr.org/sections/thesalt/2016/08/29/491797791/the-strange-twisted-story-behind-seattles-blackberries',"b""The Strange, Twisted Story Behind Seattle's Blackberries : The Salt ..."""
b'https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/blackberries',b'Blackberries - an overview | ScienceDirect Topics'
b'https://www.ams.usda.gov/grades-standards/fresh-dewberries-and-blackberries-grades-and-standards',b'Fresh Dewberries and Blackberries Grades and Standards ...'
b'https://www.1011now.com/content/news/Hepatitis-A-reports-linked-to-blackberries-sold-at-Fresh-Thyme-in-September-565236132.html',b'Hepatitis A reports linked to blackberries sold at Fresh Thyme in ...'
b'https://blackberrymobile.com/',b'BlackBerry Mobile Official Website'
b'https://www.calorieking.com/us/en/foods/f/calories-in-fresh-fruits-blackberries-raw/BgU2SHl7TMyKVnML9u978g',"b'Calories in Blackberries, raw | CalorieKing'"
b'https://eldersliefarm.com/blackberries/',b'Blackberries - Elderslie Farm - Wichita Blackberry Picking'
b'https://www.burpee.com/fruit/blackberry-plants/',b'Blackberry Plants for Sale - Triple Crown & Thornless - Burpee.com'
b'https://www.ibiblio.org/ipa/poems/komunyakaa/blackberries.php',b'Yusef Komunyakaa: Blackberries @ The Internet Poetry Archive'
b'https://www.meijer.com/shop/en/produce/fruit/berries-cherries/blackberries-5-6-oz/p/3338324026',"b'Blackberries, 5.6 oz Berries & Cherries | Meijer Grocery, Pharmacy ...'"
b'https://www.britannica.com/plant/blackberry-fruit',b'Blackberry | fruit | Britannica'
b'https://www.eckerts.com/can-dogs-eat-blackberries',b'Can Dogs Eat Blackberries \xe2\x80\x94 Dog Diet Restrictions'
b'http://ipm.ucanr.edu/PMG/PESTNOTES/pn7434.html',b'Wild Blackberries Management Guidelines--UC IPM'
b'https://stardewvalleywiki.com/Blackberry',b'Blackberry - Stardew Valley Wiki'
b'https://www.rareseeds.com/store/vegetables/garden-berries/blackberries-schwarzbeeren',b'Blackberries (Schwarzbeeren)'
b'https://archiveofourown.org/works/23429080',b'Blackberries - Chapter 1 - SailorChibi - Miraculous Ladybug [Archive ...'
