link,headline
b'https://www.blackberry.com/us/en',b'BlackBerry Official Home Page \xe2\x80\x93 Security Software & Services'
b'https://blackberrymobile.com/',b'BlackBerry Mobile Official Website'
b'https://en.wikipedia.org/wiki/BlackBerry',b'BlackBerry - Wikipedia'
b'https://blackberrymobile.com/us/',b'BlackBerry Mobile I US Official Site'
b'http://www.blackberryfarm.com/',b'Blackberry Farm'
b'https://www.blackberrysmoke.com/',b'Blackberry Smoke | The Official Site for Brothers and Sisters ...'
b'https://blogs.blackberry.com/en',b'Inside BlackBerry | The Official BlackBerry Blog'
b'https://developers.blackberry.com/',b'BlackBerry Developer'
b'https://twitter.com/blackberry?lang=en',b'BlackBerry (@BlackBerry) | Twitter'
b'https://appworld.blackberry.com/',b'BlackBerry World: Free & Paid BlackBerry Apps for Smartphones ...'
b'http://blackberryfarmbrewery.com/',b'Blackberry Farm Brewery | Farm Roots Run Deep.'
b'https://www.dropbox.com/blackberry',b'Blackberry - Dropbox'
b'https://www.facebook.com/BlackBerry/',b'BlackBerry - Home | Facebook'
b'https://blackberry.qnx.com/en',b'Embedded Systems Software Platform | BlackBerry QNX'
b'https://www.youtube.com/user/BlackBerry',b'BlackBerry - YouTube'
b'https://www.blackberrymountain.com/',b'Blackberry Mountain'
b'https://guide.duo.com/blackberry',b'Duo Mobile on BlackBerry - Guide to Two-Factor Authentication ...'
b'https://www.cylance.com/en-us/index.html',b'Cylance | Artificial Intelligence Based Advanced Threat Prevention'
b'https://www.theverge.com/2020/2/3/21120107/tcl-blackberry-ends-phone-global-rights-date-2020',b'BlackBerry phones could disappear as TCL partnership ends - The ...'
b'https://support.zoom.us/hc/en-us/articles/204762615-Getting-Started-with-BlackBerry',b'Getting Started with BlackBerry \xe2\x80\x93 Zoom Help Center'
b'https://www.leafly.com/strains/blackberry',b'Blackberry Marijuana Strain Information | Leafly'
b'https://www.fool.com/investing/2020/04/02/dont-be-fooled-by-blackberrys-fourth-quarter-reven.aspx',"b""Don't Be Fooled by BlackBerry's Fourth-Quarter Revenue Growth ..."""
b'https://www.nytimes.com/2009/01/23/us/politics/23berry.html',b'Obama Keeps His Blackberry in a Hard-Fought E-Victory - The New ...'
b'https://www.gsmarena.com/blackberry-phones-36.php',b'All BlackBerry phones'
b'https://www.blackberrypatch.com/',"b'Blackberry Patch, Inc.'"
b'https://www.teamviewer.com/en-us/download/blackberry/',b'TeamViewer App for BlackBerry'
b'https://blackberryridgegolf.com/',"b'Blackberry Ridge Golf Club | Sartell, Minnesota'"
b'https://protect.blackberry.com/',b'Sign In to BlackBerry ID'
b'https://docs.blackberry.com/content/dam/docs-blackberry-com/release-pdfs/en/device-user-guides/BlackBerry-Classic-Smartphone-10.3.3-User-Guide-en.pdf',b'BlackBerry Classic Smartphone-10.3.3-User Guide'
b'http://support.blackberry.com/',b'BlackBerry Knowledge Base'
b'http://us.blackberry.com/bbid/',b'BlackBerry ID'
b'https://www.theglobeandmail.com/report-on-business/the-inside-story-of-why-blackberry-is-failing/article14563602/',b'How BlackBerry blew it: The inside story - The Globe and Mail'
b'https://www.linkedin.com/company/blackberry',b'BlackBerry | LinkedIn'
b'https://finance.yahoo.com/news/blackberry-report-examines-decade-long-120000646.html',b'BlackBerry Report Examines Decade-Long Compromise of Linux ...'
b'https://crackberry.com/',b'CrackBerry | The #1 Site for BlackBerry Users (and Abusers!)'
b'https://money.cnn.com/2016/09/28/technology/blackberry-outsource-phones/index.html',b'End of an era: BlackBerry will stop making its own phones'
b'https://business.time.com/2013/09/24/the-fatal-mistake-that-doomed-blackberry/',b'The Fatal Mistake That Doomed BlackBerry | TIME.com'
b'https://getpocket.com/apps/blackberry/',b'Applications: Blackberry - Pocket'
b'https://www.theguardian.com/technology/blackberry',b'BlackBerry | Technology | The Guardian'
b'https://www.zdnet.com/article/blackberry-q4-earnings-better-than-expected-sales-light/',"b'BlackBerry Q4 earnings better than expected, sales light | ZDNet'"
b'https://www.newyorker.com/tech/annals-of-technology/how-blackberry-fell',b'How BlackBerry Fell | The New Yorker'
b'https://stardewvalleywiki.com/Blackberry',b'Blackberry - Stardew Valley Wiki'
b'https://www.bloomberg.com/news/articles/2013-12-05/the-rise-and-fall-of-blackberry-an-oral-history',b'The Rise and Fall of BlackBerry: An Oral History - Bloomberg'
b'https://en.wiktionary.org/wiki/blackberry',b'blackberry - Wiktionary'
b'http://www.blackberry.com/blackberrycurve.shtml',b'BlackBerry'
b'https://www.noosayoghurt.com/product/blackberry/',b'blackberry | noosa'
b'https://www.prnewswire.com/news-releases/blackberry-makes-its-enterprise-grade-end-to-end-encrypted-messaging-platform-available-to-bbm-consumers-300834565.html',b'BlackBerry Makes its Enterprise-Grade End-to-End Encrypted ...'
b'https://seekingalpha.com/article/4337968-blackberry-take-closer-look',b'BlackBerry: Take A Closer Look (NYSE:BB) | Seeking Alpha'
b'https://www.blackberryfarm.info/',b'Blackberry Farm: Home'
b'https://www.blackberry.cafe/',b'Blackberry Market \xe2\x80\x93 Caf\xc3\xa9 | Bakery | Catering'
b'https://github.com/blackberry',b'BlackBerry'
b'https://www.culvers.com/flavor-of-the-day/blackberry-cobbler',"b""Blackberry Cobbler | Flavor of the Day | Culver's"""
b'https://www.blackberryvet.com/',b'blackberry-vet: HOME'
b'https://www.goshenandoah.com/activities-events/festivals/blackberry-delight',b'Blackberry Delight | Shenandoah National Park'
b'https://www.ctia.org/blackberry-robocall-blocking',b'Blackberry Robocall Blocking - CTIA'
