link,headline
b'https://en.wikipedia.org/wiki/Blueberry',b'Blueberry - Wikipedia'
b'https://www.healthline.com/nutrition/10-proven-benefits-of-blueberries',b'10 Proven Health Benefits of Blueberries'
b'https://www.youtube.com/watch?v=V_jHc_n0p9c',b'Lil Mosey - Blueberry Faygo (Dir. by @_ColeBennett_) - YouTube'
b'https://www.blueberry.io/',b'We create thriving digital worlds | Blueberry'
b'https://www.leafly.com/strains/blueberry',b'Blueberry Marijuana Strain Information | Leafly'
b'https://blueberrydiapers.com/',b'Blueberry & Me \xe2\x80\x93 Blueberry & Me'
b'https://www.blueberrys-restaurant.com/',"b""Blueberry's Restaurant | Delicious Breakfast & Lunch | Naples, FL"""
b'https://www.imdb.com/title/tt0276830/',b'Renegade (2004) - IMDb'
b'https://www.bluedesigns.com/products/blueberry/',b'Blueberry - Blue'
b'https://www.halfbakedharvest.com/blueberry-lemon-thyme-tarts/',b'Bursting Blueberry Lemon Thyme Tarts. - Half Baked Harvest'
b'https://maps.secondlife.com/secondlife/Lenox%20and%20Blueberry/253/128/23',b'Lenox and Blueberry - Second Life Maps'
b'https://blueberryhill.com/',b'Blueberry Hill: Homepage'
b'https://marketplace.secondlife.com/stores/113388',b'Blueberry by Blueberryxx - Second Life Marketplace'
b'https://www.medicalnewstoday.com/articles/287710',"b'Blueberries: Health benefits, facts, and research'"
b'https://www.skinnytaste.com/tropical-mango-blueberry-lassi/',b'Tropical Mango Blueberry Lassi (Yogurt Drink) - Skinnytaste'
b'http://www.blueberryphotography.com/',b'Blueberry Photography | Napa Sonoma Winery Wedding ...'
b'https://www.christies.com/lotfinder/Lot/joan-mitchell-1925-1992-blueberry-6141743-details.aspx',"b""Joan Mitchell (1925-1992) | Blueberry | 1960s, Paintings | Christie's"""
b'https://www.flashbackrecorder.com/',b'FlashBack: Screen Recorder'
b'https://www.blueberrycouncil.org/blueberry-nutrition/',b'Blueberry Nutrition - U.S. Highbush Blueberry Council'
b'https://www.amazon.com/Low-Karb-Blueberry-Granola-Breakfast/dp/B07RQVC5BD',b'Low Karb - Keto Blueberry Nut Granola Healthy ... - Amazon.com'
b'https://soundcloud.com/lilmosey/blueberry-faygo',"b""Blueberry Faygo by Lil Mosey on SoundCloud - Hear the world's ..."""
b'https://www.rxbar.com/shop/blueberry-protein-bars-box-of-12.html',b'Blueberry Protein Bars (12 Count) | RXBAR'
b'https://edis.ifas.ufl.edu/topic_blueberry',b'Blueberry'
b'https://www.linvilla.com/family-fun/blueberry-festival',b'Blueberry Festival \xe2\x80\x93 Linvilla Orchards'
b'https://downtownmarquette.org/blueberry-festival/',"b'Blueberry Festival | Downtown Marquette, Michigan'"
b'https://www.ncbi.nlm.nih.gov/pubmed/20047325',b'Blueberry supplementation improves memory in older adults.'
b'https://stardewvalleywiki.com/Blueberry',b'Blueberry - Stardew Valley Wiki'
b'https://www.merriam-webster.com/dictionary/blueberry',b'Blueberry | Definition of Blueberry by Merriam-Webster'
b'https://www.bestproducts.com/lifestyle/a32186847/mcdonalds-malaysia-blueberry-cream-cheese-pie/',"b""McDonald's New Blueberry Cream Cheese Pie Is Stuffed With Two ..."""
b'https://blueberryhillinn.com/',b'Blueberry Hill Inn : An Inn For All Seasons'
