link,headline
b'https://en.wikipedia.org/wiki/Cantaloupe',b'Cantaloupe - Wikipedia'
b'https://www.almanac.com/plant/cantaloupes',"b'Cantaloupes: Planting, Growing, and Harvesting Muskmelons | The ...'"
b'https://www.healthline.com/health/food-nutrition/benefits-of-cantaloupe',b'Benefits of Cantaloupe: 7 Healthy Advantages'
b'https://www.cdc.gov/listeria/outbreaks/cantaloupes-jensen-farms/index.html',b'Multistate Outbreak of Listeriosis Linked to Whole Cantaloupes from ...'
b'https://www.medicalnewstoday.com/articles/279176',b'Cantaloupe: Health benefits and nutrition'
b'https://www.theatlantic.com/politics/archive/2013/07/steve-king-wants-protect-border-cantaloupe-sized-calves/312984/',b'Steve King Wants to Protect the Border from Cantaloupe-Sized Calves'
b'https://www.cnn.com/2011/09/28/health/cantaloupe-deaths/index.html',"b'Tainted cantaloupes linked to 13 deaths, public health officials say ...'"
b'https://www.houstonchronicle.com/news/houston-texas/houston/article/Pecos-cantaloupes-were-famous-Now-oil-rules-14273017.php',"b'Pecos cantaloupes were famous. Now, oil rules. - Houston Chronicle'"
b'https://www.cnn.com/2011/09/30/health/cantaloupe-deaths/index.html',b'Deaths from tainted cantaloupes rise to 15 - CNN'
b'https://www.producemarketguide.com/produce/cantaloupe',b'Cantaloupe | Produce Market Guide'
b'https://www.washingtonpost.com/news/post-politics/wp/2013/08/01/immigration-advocates-delivering-cantaloupes-to-house-gop-lawmakers/',b'Immigration advocates deliver cantaloupes to House GOP lawmakers'
b'https://www.ourstate.com/cantaloupes-ridgeway-royalty/',"b""Come Summertime, Cantaloupes are Ridgeway's Royalty | Our State"""
b'https://www.livescience.com/54475-cantaloupe-nutrition.html',b'Cantaloupes: Health Benefits & Nutrition Facts | Live Science'
b'https://abcnews.go.com/blogs/politics/2013/07/steve-king-defends-controversial-cantaloupes-comments-about-drug-hauling-dreamers/',"b""Steve King Defends 'Cantaloupes' Comments About Drug-'Hauling ..."""
b'https://www.ncbi.nlm.nih.gov/pubmed/28667935',b'Internalization of Listeria monocytogenes in cantaloupes during ...'
b'https://www.merriam-webster.com/dictionary/cantaloupe',b'Cantaloupe | Definition of Cantaloupe by Merriam-Webster'
b'https://www.akc.org/expert-advice/nutrition/can-dogs-eat-cantaloupe/',b'Can Dogs Eat Cantaloupe? Is Cantaloupe Good For Dogs?'
b'https://www.youtube.com/watch?v=DvvYQc8N1QI',b'Cantaloupe - Growing - YouTube'
b'https://revolverwarholgallery.com/portfolio/space-fruit-cantaloupes-198/',b'Space Fruit: Cantaloupes II 198 - Andy Warhol | Revolver Gallery'
b'https://www.webmd.com/food-recipes/cantaloupe-health-benefits',b'What Cantaloupes Can Do for Your Health'
b'https://www.localharvest.org/cantaloupes.jsp',"b'Cantaloupes near Mountain View, CA - LocalHarvest'"
b'https://www.npr.org/sections/thetwo-way/2014/01/28/267809588/cantaloupe-farmers-get-probation-over-deadly-listeria-outbreak',b'Cantaloupe Farmers Get Probation Over Deadly Listeria Outbreak ...'
b'https://www.fda.gov/food/foodborne-pathogens/update-listeria-monocytogenes-and-cantaloupes',b'Update on Listeria monocytogenes and Cantaloupes | FDA'
b'https://www.nytimes.com/2011/10/20/business/listeria-outbreak-traced-to-colorado-cantaloupe-packing-shed.html',b'Listeria Outbreak Traced to Colorado Cantaloupe Packing Shed ...'
b'https://www.newyorker.com/news/amy-davidson/steve-king-and-the-case-of-the-cantaloupe-calves',b'Steve King and the Case of the Cantaloupe Calves | The New Yorker'
