link,headline
b'https://en.wikipedia.org/wiki/Coconut',b'Coconut - Wikipedia'
b'https://www.healthline.com/nutrition/coconut-nutrition',b'5 Health and Nutrition Benefits of Coconut'
b'https://www.amazon.com/Viva-Naturals-Organic-Virgin-Coconut/dp/B00DS842HS',"b'Viva Naturals Organic Extra Virgin Coconut Oil, 16 ... - Amazon.com'"
b'https://www.youtube.com/watch?v=w0AOGeqOnFY',b'The Coconut Song - (Da Coconut Nut) - YouTube'
b'https://www.healthline.com/nutrition/top-10-evidence-based-health-benefits-of-coconut-oil',b'Top 10 Evidence-Based Health Benefits of Coconut Oil'
b'https://coconutbliss.com/',b'Coconut Bliss Vegan Ice Cream'
b'https://www.youtube.com/watch?v=TsSuueEGQSM',b'Harry Nilsson - Coconut (Audio) - YouTube'
b'https://www.loc.gov/everyday-mysteries/item/is-a-coconut-a-fruit-nut-or-seed/',"b'Is a coconut a fruit, nut or seed? | Library of Congress'"
b'https://colourpop.com/products/coconut',b'Coconut Super Shock Eyeshadow | ColourPop'
b'https://www.youtube.com/watch?v=T9bXoOa1qTg',b'How To Open Coconuts Without Any Tools - YouTube'
b'https://www.coconutcreek.net/',b'City of Coconut Creek: Home'
b'https://arxiv.org/abs/1802.07344',b'Coconut: Threshold Issuance Selective Disclosure Credentials with ...'
b'http://coconut-lang.org/',b'Coconut Programming Language'
b'https://www.medicalnewstoday.com/articles/282857',"b'Coconut oil: Benefits, uses, and controversy'"
b'https://www.coconut-flavour.com/coconutbattery/',b'coconutBattery 3.9 - by coconut-flavour.com'
b'https://www.nutrition-and-you.com/coconut.html',b'Coconut nutrition facts and health benefits'
b'https://emojipedia.org/coconut/',b'\xf0\x9f\xa5\xa5 Coconut Emoji'
b'http://www.coconutpoetry.org/',b'coconut poetry'
b'https://en.wiktionary.org/wiki/coconut',b'coconut - Wiktionary'
b'https://thecoconutcult.com/',b'The Coconut Cult | The Coconut Cult'
b'https://coconutgirlbrands.com/products/',b'Products - Coconut Girl'
