link,headline
b'https://www.coconutsfortlauderdale.com/',b'Coconuts - Fort Lauderdale'
b'https://en.wikipedia.org/wiki/Coconut',b'Coconut - Wikipedia'
b'https://www.coconutsonthebeach.com/',b'Coconuts On The Beach | Restaurant & Bar'
b'https://boardgamegeek.com/boardgame/145639/coconuts',b'Coconuts | Board Game | BoardGameGeek'
b'https://www.youtube.com/watch?v=T9bXoOa1qTg',b'How To Open Coconuts Without Any Tools - YouTube'
b'https://www.coconutspaloalto.com/',b'Coconuts Caribbean Restaurant in Palo Alto'
b'https://www.healthline.com/nutrition/coconut-nutrition',b'5 Health and Nutrition Benefits of Coconut'
b'https://www.amazon.com/Mayday-Games-Coconuts-Player-Dexterity/dp/B00K0QOR7G',b'Mayday Games Coconuts 2-4 Player Dexterity Game ... - Amazon.com'
b'https://source.wustl.edu/2011/06/deep-history-of-coconuts-decoded/',b'Deep history of coconuts decoded | The Source | Washington ...'
b'https://www.matissefootwear.com/collections/coconuts',b'Coconuts - Matisse Footwear'
b'https://coconutsicecream.com/',b'home - coconuts | ice cream. shave ice. events. - Cartersville'
b'https://www.facebook.com/Coconuts/',b'Coconuts - Home | Facebook'
b'https://castleinthesand.com/ocean-city-md-hotels-dining/ocean-city-md-coconuts/',b'Coconuts | Ocean City MD Oceanfront Hotel | Castle in the Sand'
b'https://www.loc.gov/everyday-mysteries/item/is-a-coconut-a-fruit-nut-or-seed/',"b'Is a coconut a fruit, nut or seed? | Library of Congress'"
b'http://www.avocadosandcoconuts.com/',b'Avocados & Coconuts - San Francisco'
b'https://www.arcademics.com/games/coconuts',b'Coconut Vowels - Arcademic Skill Builders'
b'https://www.coconutsfishcafe.com/',"b""Extraordinary to Perfection Food - Coconut's Fish Cafe, LLC"""
b'https://colourpop.com/products/coconuts-about-you',b'Coconuts About You Lip Tint Kit | ColourPop'
b'https://www.britannica.com/plant/coconut',"b'coconut | Description, Uses, & Facts | Britannica'"
b'https://colourpop.com/products/going-coconuts-eyeshadow-palette',b'Going Coconuts Bronzed Eyeshadow Palette | ColourPop'
b'https://coconutsaz.com/menu/',b'MENU \xe2\x80\x93 Coconuts'
b'https://www.benicerestaurants.com/',b'be nice - Fort Lauderdale'
b'https://coconutsaz.com/',b'Coconuts \xe2\x80\x93 Best Fish Tacos'
b'https://www.fusd1.org/Page/3603',b'Programs and Clubs / CocoNuts FIRST Robotics Team'
b'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3936586/',b'Long-distance dispersal of the coconut palm by migration within the ...'
b'http://www.coconutsatthelake.com/',b'Coconuts Caribbean Beach Bar & Grill | Waterfront Restaurant Lake ...'
b'https://animalplace.org/did-a-monkey-pick-your-coconuts/',b'Did a Monkey Pick Your Coconuts? | Animal Place'
b'https://coconutscozumel.com/',b'Coconuts'
b'https://www.califiafarms.com/products/go-coconuts-coconutmilk-48oz',b'Go Coconuts Coconutmilk \xe2\x80\x93 Califia Farms'
b'https://www.coffeeandcoconutstn.com/',"b'Coffee and Coconuts | Franklin, TN | Coffee House'"
b'https://www.coffeeandcoconutstn.com/',"b'Coffee and Coconuts | Franklin, TN | Coffee House'"
b'https://abcnews.go.com/Technology/story?id=97993&page=1',b'Coconuts Called Deadlier Than Sharks - ABC News'
b'https://www.theatlantic.com/science/archive/2016/11/coconut-genetic-diversity/507014/',"b""The World's Coconuts Are in Danger - The Atlantic"""
b'https://www.wsj.com/articles/coconuts-go-upscale-boosting-price-of-conventional-coconut-oil-1460017362',"b'Coconuts Go Upscale, Boosting Price of Conventional Coconut Oil ...'"
b'https://stardewvalleywiki.com/Coconut',b'Coconut - Stardew Valley Wiki'
b'https://www.wdsu.com/article/zulu-coconuts-have-quite-the-storied-history/3369297',b'Zulu coconuts have quite the storied history - New Orleans'
b'https://www.coconutscomedyclubs.com/',b'Coconuts Comedy Clubs :: Home'
b'https://blogs.scientificamerican.com/thoughtomics/httpblogsscientificamericancomthoughtomics20110801coconuts-not-indigenous-but-quite-at-home-nevertheless/',"b'Coconuts: not indigenous, but quite at home nevertheless - Scientific ...'"
b'https://www.urbandictionary.com/define.php?term=coconut',b'coconut - Urban Dictionary'
b'https://www.npr.org/sections/thesalt/2015/12/03/457124796/death-by-coconut-a-story-of-food-obsession-gone-too-far',b'Death By Coconut: A Story Of Food Obsession Gone Too Far : The ...'
b'https://vimeo.com/avocadosandcoconuts',b'Avocados and Coconuts on Vimeo'
b'https://coconuts.la/',b'Coconuts | Nearshore Software Development & Software Outsourcing'
b'https://www.chacha-coconuts.com/',b'Cha Cha Coconuts | A Tropical Bar & Grill \xe2\x80\x93 Not Your Typical ...'
b'https://www.instagram.com/coffeecoconuts/?hl=en',b'Coffee & Coconuts (@coffeecoconuts) \xe2\x80\xa2 Instagram photos and videos'
b'https://dignitycoconuts.com/',b'Dignity Coconuts'
b'https://www.thedrunkencoconut.com/',b'The Drunken Coconut'
b'https://bitbelt.com/',"b'BitBelt - Bitbelt, Safety Clasps, Disney Vacation Insurance'"
b'https://www.100coconuts.com/',b'100 Coconuts: Home'
b'https://www.motherjones.com/environment/2014/10/coconut-water-oil-flour-health/',b'Stop Going Cuckoo for Coconuts \xe2\x80\x93 Mother Jones'
b'https://www.coconut-flavour.com/coconutbattery/',b'coconutBattery 3.9 - by coconut-flavour.com'
b'https://www.straightdope.com/columns/read/2405/are-150-people-killed-each-year-by-falling-coconuts/',b'Are 150 people killed each year by falling coconuts? \xe2\x80\x93 The Straight ...'
b'https://www.mardigras.com/new_orleans_parades/article_bd8910b9-2c59-5e91-81c1-223dd50d2bc6.html',"b'Zulu coconuts, always a favorite Mardi Gras throw, are priceless ...'"
b'https://coconutsandkettlebells.com/',b'Coconuts and Kettlebells - Building More Capable Bodies'
b'https://coconuts.co/bangkok/',b'Coconuts Bangkok | News | Food | Restaurants | Nightlife | Guide'
b'https://www.medicalnewstoday.com/articles/323743',"b'Coconut milk: Benefits, nutrition, and risks'"
b'https://news.stanford.edu/news/2010/january18/birddrop-palm-trees-012110.html',"b'Coconut palms bring ecological change to tropics, Stanford ...'"
b'https://www.vitacoco.com/our-coconuts',b'Our Coconuts'
