link,headline
b'https://en.wikipedia.org/wiki/Olive',b'Olive - Wikipedia'
b'https://olivesprinceton.com/',b'Olives of Princeton - Good Food... Always'
b'https://www.healthline.com/nutrition/foods/olives',b'Olives 101: Nutrition Facts and Health Benefits'
b'https://www.thespruceeats.com/types-of-olives-1807856',b'Varieties and Types of Olives'
b'https://www.olivesandoil.com/',b'Olives and Oil New Haven'
b'https://www.seriouseats.com/2014/09/guide-to-olive-varieties.html',"b""A Beginner's Guide to Olives: 14 Varieties Worth Seeking Out ..."""
b'https://olivesmankato.com/',b'Olives Restaurant Mankato'
b'https://eatatolives.com/',"b""Olive's Restaurant & Bar: Home"""
b'https://www.olivesgourmetgrocer.com/',b'Olives Gourmet Grocer - Long Beach'
b'https://www.olivesandgrace.com/',b'OLIVES & GRACE \xe2\x80\x93 A Curtsy To The Makers'
b'https://www.youtube.com/watch?v=oStoeHntfG8',"b""Why Can't You Buy *Fresh* Olives? - YouTube"""
b'https://www.olives.com/',b'Musco Family Olive Co. - All About Olives - Olive Recipes and Much ...'
b'https://www.olivesnyc.com/',b'Olives'
b'http://www.whfoods.com/genpage.php?tname=foodspice&dbid=46',b'Olives'
b'https://www.thirteenolives.com/',b'Thirteen Olives - Clarks Summit'
b'https://www.olivegarden.com/home',b'Olive Garden Italian Restaurant | Family Style Dining | Italian Food'
b'https://twooliveswichita.com/',b'Two Olives: Home'
b'https://www.amazon.com/Olives-Poems-Stallings/dp/0810152266',b'Olives: Poems: A.E. Stallings: 9780810152267: Amazon.com: Books'
b'https://www.pnas.org/content/early/2020/04/07/1912206117',b'Impact of Xylella fastidiosa subspecies pauca in European olives ...'
b'https://cheftoddenglish.com/',b'Todd English'
b'https://rde.stanford.edu/hospitality/olives',b'Olives | Stanford R&DE'
b'https://www.medicalnewstoday.com/articles/325327',b'Are olives good for you? Nutrition and benefits'
b'https://www.ncbi.nlm.nih.gov/pubmed/15554560',b'Olives and olive oil in cancer prevention.'
b'https://11olives.com/',"b'11 Olives | Fresh, Local, Award Winning - Seattle'"
b'https://olivescafe.com/',b'Olives Mediterranean Cafe \xe2\x80\x93 Lancaster and Palmdale California'
b'https://www.olivesandpeppers.com/',b'Olives & Peppers'
b'https://www.merriam-webster.com/dictionary/olive',b'Olive | Definition of Olive by Merriam-Webster'
b'https://www.threeolives.com/',b'Three Olives\xc2\xae Vodka'
b'https://www.ilovelindsay.com/',b'Lindsay: Olive Recipes - Entertaining Ideas - Benefits Of Olives'
b'https://thefriends.org/opus-olives-gala/',b'Opus & Olives Gala | The Friends of the Saint Paul Public Library'
b'https://aggie-horticulture.tamu.edu/fruit-nut/files/2010/10/olives.pdf',b'Olives'
b'https://www.queencreekolivemill.com/',b'Queen Creek Olive Mill'
b'https://www.fatolivesflagstaff.com/',"b'Fat Olives: Wood-Fired Artisan & Neapolitan Pizza : Flagstaff, Arizona'"
b'https://www.shopfromolivesandgrapes.com/',b'From Olives and Grapes \xe2\x80\x93 Shop Now'
b'https://www.target.com/c/olives-pickles-peppers-canned-packaged-foods-pantry-grocery/-/N-40p8x',"b'Olives, Pickles & Peppers : Target'"
b'http://datesandolives.com/',"b'Mediterranean Cuisine in Brighton, MA | Dates and Olives ...'"
b'https://twitter.com/hashtag/olives?lang=en',b'#olives hashtag on Twitter'
b'https://www.go-ontap.com/',b'Grapes & Olives On Tap Naturally Infused Balsamic Vinegar & Olive ...'
b'https://oliveboss1.wixsite.com/olives',b'Home | olives - Nyack'
b'https://calolive.org/',b'California Ripe Olives - Enjoyed by Families Everywhere'
b'https://www.sugarandolives.com/',b'Sugar & Olives: Celebrated Local Cuisine in a Rustic Converted ...'
b'https://www.goodhousekeeping.com/health/diet-nutrition/a47350/health-benefits-of-olives/',b'Are Olives Good for You? 9 Health Benefits of Olives & Olive Oil'
b'https://www.bbc.com/news/science-environment-52234561',"b""Deadly olive tree disease across Europe 'could cost billions' - BBC ..."""
b'https://apps1.cdfa.ca.gov/FertilizerResearch/docs/Olive_Production_CA.pdf',b'Olive Production in California'
b'https://www.olivemypickle.com/blogs/news/10-benefits-of-eating-healthy-olives',b'10 Benefits of Eating Healthy Olives \xe2\x80\x93 Olive My Pickle'
b'https://www.harpercollins.com/9780062431783/kingdom-of-olives-and-ash/',b'Kingdom of Olives and Ash - Michael Chabon - Paperback'
b'https://www.ams.usda.gov/rules-regulations/section8e/olives',b'Importing Olives | Agricultural Marketing Service'
b'https://www.sbolive.com/',"b'Santa Barbara Olive Company, home of the best gourmet olives ...'"
b'https://www.wsj.com/articles/your-avocados-and-olives-are-pricier-because-fat-is-in-fashion-11551090603',b'Your Avocados and Olives Are Pricier Because Fat Is In Fashion - WSJ'
b'https://www.olivepit.com/',"b'Olive Pit | Corning, CA - Olives, Olive Oil, Balsamic Vinegar, Wine ...'"
b'https://www.olivepit.com/',"b'Olive Pit | Corning, CA - Olives, Olive Oil, Balsamic Vinegar, Wine ...'"
b'https://moochurch.org/',b'Mount of Olives Church in Mission Viejo | Home'
b'https://www.britannica.com/plant/olive-plant',"b'olive | Description, Production, & Oil | Britannica'"
b'https://www.bloomberg.com/news/articles/2019-05-23/trump-s-tariffs-send-shock-waves-through-spain-s-olive-groves',"b""Trump's Tariffs Send Shock Waves Through Spain's Olive Groves ..."""
b'https://www2.ipm.ucanr.edu/agriculture/olive/',b'Olive / Agriculture: Pest Management Guidelines / UC Statewide IPM ...'
b'https://www.fatolivesrichland.com/',"b'Fat Olives Restauran and Catering Richland, WA'"
b'https://www.nationalgeographic.com/culture/food/the-plate/2016/07/olives--the-bitter-truth/',b'The Bitter Truth About Olives'
b'http://theolivesbranch.com/',b'The Olives Branch \xe2\x80\x93 Lebanese Cuisine & Hookah Lounge ...'
