link,headline
b'https://en.wikipedia.org/wiki/Pomegranate',b'Pomegranate - Wikipedia'
b'https://www.healthline.com/nutrition/12-proven-benefits-of-pomegranate',b'12 Health Benefits of Pomegranate'
b'https://www.medicalnewstoday.com/articles/318385',b'15 health benefits of pomegranate juice'
b'https://www.pomegranates.org/',b'Welcome to Pomegranate Council'
b'https://open.spotify.com/album/3bFGxO5DQrgQyub8eFfxwj',b'Pomegranates by Nicolas Jaar on Spotify'
b'https://cuesa.org/food/pomegranates',b'Pomegranates | CUESA'
b'https://www.youtube.com/watch?v=ma77qhzNnOI',b'Fast Way to Process a Pomegranate - YouTube'
b'https://aggie-horticulture.tamu.edu/fruit-nut/files/2015/04/pomegranates_2015.pdf',b'Pomegranates'
b'https://www.npr.org/2011/07/15/6411097/pomegranates-jewels-in-the-fruit-crown',b'Pomegranates: Jewels In The Fruit Crown : NPR'
b'https://www.criterion.com/films/29219-the-color-of-pomegranates',b'The Color of Pomegranates (1969) | The Criterion Collection'
b'https://www.discogs.com/Various-Pomegranates-Persian-Pop-Funk-Folk-And-Psych-Of-The-60s-And-70s/release/2162373',"b'Pomegranates - Persian Pop, Funk, Folk And Psych Of The 60s And ...'"
b'https://www.ncbi.nlm.nih.gov/pubmed/25579987',b'Effects of ellagic acid-rich extract of pomegranates peel on ...'
b'https://health.clevelandclinic.org/pomegranates-power-help-keep-healthy-video/',b'Why Pomegranates Are Such a Healthy Fruit \xe2\x80\x93 Health Essentials ...'
b'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5560105/',b'Pomegranate for Prevention and Treatment of Cancer: An Update'
b'https://www.pbs.org/food/the-history-kitchen/10-edible-aphrodisiacs/',b'10 Edible Aphrodisiacs | The History Kitchen | PBS Food'
b'https://www.simplyrecipes.com/recipes/how_to_cut_and_de_seed_a_pomegranate/',b'How to Eat a Pomegranate {Guide with Pics} | SimplyRecipes.com'
b'https://www.newyorker.com/magazine/2010/01/11/shopping-for-pomegranates-at-wal-mart-on-new-years-day',"b""Shopping for Pomegranates at Wal-Mart on New Year'S Day | The ..."""
b'https://henryart.org/programs/darkness-film-series-the-color-of-pomegranates',b'Darkness Film Series: The Color of Pomegranates - Henry Art Gallery'
b'https://www.agmrc.org/commodities-products/fruits/pomegranates',b'Pomegranates | Agricultural Marketing Resource Center'
b'https://www.bonappetit.com/test-kitchen/ingredients/article/pomegranates',b'Pomegranates | Bon App\xc3\xa9tit'
b'https://www.amazon.com/Pomegranates-Pine-Nuts-stunning-collection/dp/184899088X',b'Pomegranates & Pine Nuts: A stunning collection of Lebanese ...'
b'https://postclassical.com/performances/pomegranates/',b'The Color of Pomegranates \xe2\x80\x93 PostClassical Ensemble'
b'https://www.nga.gov/calendar/film-programs/armenian-odyssey/color-pomegranates.html',b'The Color of Pomegranates preceded by Kiev Frescoes'
b'https://www.liveeatlearn.com/pomegranate/',b'Pomegranate 101: Everything You Need To Know About ...'
b'https://www.imdb.com/title/tt0063555/',b'The Color of Pomegranates (1969) - IMDb'
b'https://animals.sandiegozoo.org/index.php/animals/pomegranate-0',b'Pomegranate | San Diego Zoo Animals & Plants'
b'https://cals.arizona.edu/yavapai/anr/hort/byg/archive/pomegranates.html',"b'Backyard Gardener - Growing Pomegranates, August 29, 2001'"
b'https://www.myjewishlearning.com/article/9-jewish-things-about-pomegranates/',b'9 Jewish Things About Pomegranates | My Jewish Learning'
b'https://crec.ifas.ufl.edu/extension/pomegranates/recipes.shtml',b'UF/IFAS Citrus Extension: Pomegranates for Now'
b'https://www.hindawi.com/journals/omcl/2015/938475/',b'Potential Effects of Pomegranate Polyphenols in Cancer Prevention ...'
b'https://www.israel21c.org/top-10-great-reasons-to-love-the-pomegranate/',b'Top 10 great reasons to love the pomegranate - ISRAEL21c'
b'https://www.insidehighered.com/news/2017/10/16/professors-lesson-wasnt-actually-about-pomegranates',"b""A professor's lesson wasn't actually about pomegranates"""
b'https://www.sciencedaily.com/releases/2016/07/160711120533.htm',b'Pomegranate finally reveals its powerful anti-aging secret: Intestinal ...'
