link,headline
b'https://en.wikipedia.org/wiki/Strawberry',b'Strawberry - Wikipedia'
b'https://www.almanac.com/plant/strawberries',"b'Strawberries: Planting, Growing, and Harvesting Strawberry Plants ...'"
b'https://www.healthline.com/nutrition/foods/strawberries',b'Strawberries 101: Nutrition Facts and Health Benefits'
b'https://bonnieplants.com/how-to-grow/growing-strawberries/',b'Growing Strawberries - Bonnie Plants'
b'https://www.medicalnewstoday.com/articles/271285',"b'Strawberries: Benefits, nutrition, and risks'"
b'https://www.ewg.org/foodnews/strawberries.php',"b""EWG's 2020 Shopper's Guide to Pesticides in Produce | Strawberries"""
b'https://www.kroger.com/p/strawberries/0003338320027',"b'Strawberries, 1 lb - Kroger'"
b'https://www.gurneys.com/category/strawberry-plants',"b""Strawberries- Gurney's Strawberry Plants\xe2\x80\x94June & Everbearing"""
b'https://www.youtube.com/watch?v=XgmOL5BiToM',b'Strawberry Harvest and Tips to Grow LOTS of Strawberries! - YouTube'
b'https://www.bbcgoodfood.com/howto/guide/ingredient-focus-strawberries',b'The health benefits of strawberries | BBC Good Food'
b'http://www.whfoods.com/genpage.php?tname=foodspice&dbid=32',b'Strawberries'
b'https://laist.com/2020/04/16/food_waste_strawberries_donation_coronavirus.php',b'24 Million Pounds Of Strawberries Each Week Might Get Thrown In ...'
b'https://www.ncbi.nlm.nih.gov/pubmed/15077879',b'Potential impact of strawberries on human health: a review of the ...'
b'https://www.target.com/p/strawberries-1lb-package/-/A-13208903',b'Strawberries - 1lb Package : Target'
b'https://www.webmd.com/diet/features/nutritional-benefits-of-the-strawberry',b'Nutritional Benefits of the Strawberry'
b'https://www.driscolls.com/berries/strawberries',"b""Strawberries & Organic Strawberries | Driscoll's"""
b'https://cuesa.org/food/strawberries',b'Strawberries | CUESA'
b'https://www.jaemorfarms.com/our-produce/strawberries/',b'Local Strawberries in GA | Jaemor Farms'
b'https://www.ksat.com/news/local/2020/04/18/poteet-strawberry-festival-selling-strawberries-drive-thru-style-amid-covid-19-outbreak/',b'Poteet Strawberry Festival selling strawberries drive-thru style amid ...'
