link,headline
b'https://en.wikipedia.org/wiki/Tomato',b'Tomato - Wikipedia'
b'https://www.almanac.com/plant/tomatoes',"b""Growing Tomatoes: From Planting to Harvest | The Old Farmer's ..."""
b'https://www.healthline.com/nutrition/foods/tomatoes',b'Tomatoes 101: Nutrition Facts and Health Benefits'
b'https://www.burpee.com/vegetables/tomatoes/',"b'Tomato Seeds & Plants - Beefsteak, Cherry, Heirloom Tomatoes ...'"
b'https://www.rottentomatoes.com/',b'Rotten Tomatoes: Movies | TV Shows | Movie Trailers | Reviews ...'
b'https://bonnieplants.com/product-category/vegetables/tomatoes/',b'Tomatoes \xe2\x80\x93 Bonnie Plants'
b'https://www.thespruce.com/top-tomato-growing-tips-1402587',b'10 Tips for Growing Great Tomatoes'
b'https://www.gardeningknowhow.com/edible/vegetables/tomato/tips-for-growing-tomatoes.htm',b'Growing Tomatoes: Tomato Growing Tips'
b'https://www.youtube.com/channel/UCz1GPotHecuLngiLuY739QQ',b'Rotten Tomatoes TV - YouTube'
b'https://www.medicalnewstoday.com/articles/273031',"b'Tomatoes: Benefits, facts, and research'"
b'http://www.tomato.es/',b'Tomatoes'
b'https://www.theguardian.com/business/2020/apr/17/suppliers-ration-stocks-tinned-tomatoes-after-surge-demand',b'Suppliers ration stocks of tinned tomatoes after surge in demand ...'
b'https://www.smithsonianmag.com/arts-culture/why-the-tomato-was-feared-in-europe-for-more-than-200-years-863735/',b'Why the Tomato Was Feared in Europe for More Than 200 Years ...'
b'https://www.rareseeds.com/store/vegetables/tomatoes',b'Tomatoes - Vegetable Seeds - Shop'
b'https://www.gurneys.com/category/hybrid_tomatoes',"b""Hybrid Tomatoes and Supplies | Gurney's Seed and Nursery Co."""
b'https://www.theguardian.com/food/2020/apr/21/no-tinned-tomatoes-here-are-10-great-pasta-sauces-that-dont-need-them',"b""No tinned tomatoes? Here are 10 great pasta sauces that don't need ..."""
b'https://nchfp.uga.edu/how/can3_tomato.html',b'Can Tomatoes'
b'https://www.theguardian.com/food/2020/apr/19/sweeten-your-tinned-tomatoes-and-29-other-tips-for-simpler-tastier-home-cooking',"b'Sweeten your tinned tomatoes \xe2\x80\x93 and 29 other tips for simpler, tastier ...'"
b'https://www.britannica.com/plant/tomato',"b'tomato | Description, Cultivation, & History | Britannica'"
b'https://www.food.com/about/tomato-151',b'Tomato - Kitchen Dictionary - Food.com'
b'https://www.threetomatoes.com/',"b'Three Tomatoes Catering: Catering | Denver, CO'"
b'https://www.livescience.com/54615-tomato-nutrition.html',b'Tomatoes: Health Benefits & Nutrition Facts | Live Science'
b'https://www.heb.com/category/shop/fruit-vegetables/vegetables/tomatoes/490083/490358',b'Tomatoes \xe2\x80\x91 Shop H\xe2\x80\x91E\xe2\x80\x91B Everyday Low Prices'
b'https://cctomatoes.com/',b'C.C. Tomatoes Restaurant - Italian Cuisine and Pizza in Concord NH'
b'https://www.merriam-webster.com/dictionary/tomato',b'Tomato | Definition of Tomato by Merriam-Webster'
b'https://www.nytimes.com/2017/01/27/science/better-tasting-tomatoes-genes.html',b'A Genetic Fix to Put the Taste Back in Tomatoes - The New York Times'
b'https://extension.umn.edu/vegetables/growing-tomatoes',b'Growing tomatoes in home gardens | UMN Extension'
b'https://agrilifeextension.tamu.edu/browse/featured-solutions/gardening-landscaping/tomatoes/',b'Growing Tomatoes - how to grow Tomatoes in garden - in Texas'
b'https://www.webmd.com/food-recipes/features/health-properties-tomatoes',b'Health Properties of Tomatoes'
b'https://www.ncbi.nlm.nih.gov/pubmed/10050865',"b'Tomatoes, tomato-based products, lycopene, and cancer: review of ...'"
b'https://www.gardenersworld.com/how-to/grow-plants/how-to-grow-tomatoes/',"b""How to Grow Tomatoes - BBC Gardeners' World Magazine"""
b'https://www.instagram.com/rottentomatoes/?hl=en',b'Rotten Tomatoes (@rottentomatoes) \xe2\x80\xa2 Instagram photos and videos'
b'http://www.bbc.co.uk/sn/humanbody/truthaboutfood/young/tomatoes.shtml',b'Science & Nature - Tomatoes and Skin Protection - BBC'
b'http://www.cmt.com/news/1754800/men-are-lettuce-women-are-tomatoes/',"b'Men Are Lettuce, Women Are Tomatoes? | CMT'"
b'https://www.npr.org/sections/thesalt/2019/05/07/721172201/food-fight-trump-administration-levels-tariffs-on-mexican-tomatoes',b'Trump Administration Orders Tariffs On Tomatoes Imported From ...'
b'https://threetomatoestrattoria.com/',b'Three Tomatoes // Wood Fired Trattoria // Lebanon NH - Home'
b'https://www.foodandwine.com/vegetables/tomato/tomatoes',b'29 Easy Summer Tomato Recipes | Food & Wine'
b'https://aggie-horticulture.tamu.edu/plantanswers/publications/vegetabletravelers/tomato.html',b'The Tomato Had To Go Abroad To Make Good'
b'https://www.smithsonianmag.com/arts-culture/why-the-tomato-was-feared-in-europe-for-more-than-200-years-863735/',b'Why the Tomato Was Feared in Europe for More Than 200 Years ...'
b'https://www.johnnyseeds.com/vegetables/tomatoes/',"b""Tomato Seeds - Organic Varieties | Johnny's Selected Seeds"""
b'https://www.totallytomato.com/',"b'Totally Tomatoes: Tomatoes, Peppers, Vegetables & More'"
b'https://nutritiondata.self.com/facts/vegetables-and-vegetable-products/2682/2',"b'Tomatoes, red, ripe, raw, year round average [Includes USDA ...'"
b'https://bittersoutherner.com/a-hunger-for-tomatoes-shane-mitchell',b'A Hunger for Tomatoes \xe2\x80\x94 THE BITTER SOUTHERNER'
