link,headline
b'https://en.wikipedia.org/wiki/Watermelon',b'Watermelon - Wikipedia'
b'https://www.almanac.com/plant/watermelons',"b'Watermelons: Planting, Growing, and Harvesting Watermelons | The ...'"
b'https://www.amazon.com/Watermelons-Green-Movements-True-Colors/dp/0983347409',"b""Watermelons: The Green Movement's True Colors: James ..."""
b'https://www.livescience.com/46019-watermelon-nutrition.html',"b'Watermelon: Health Benefits, Risks & Nutrition Facts | Live Science'"
b'https://www.youtube.com/watch?v=X793Uy8qMcQ',b'How to Grow Watermelons - Complete Growing Guide - YouTube'
b'https://www.healthline.com/nutrition/foods/watermelon',b'Watermelon 101: Nutrition Facts and Health Benefits'
b'https://www.rareseeds.com/store/vegetables/watermelon',b'Watermelon - Vegetable Seeds - Shop'
b'https://www.healthline.com/nutrition/watermelon-health-benefits',b'Top 9 Health Benefits of Eating Watermelon'
b'https://www.youtube.com/watch?v=Q6vVuj3iggE',b'SKIN A WATERMELON party trick - YouTube'
b'https://www.theatlantic.com/national/archive/2014/12/how-watermelons-became-a-racist-trope/383529/',b'How Watermelons Became a Racist Trope - The Atlantic'
b'https://www.nytimes.com/2010/08/18/dining/18melons.html',"b'Farmers Focus on Small, Seedless Watermelons - The New York ...'"
b'https://www.theguardian.com/world/2011/may/17/exploding-watermelons-chinese-farming',b'Exploding watermelons put spotlight on Chinese farming practices ...'
b'https://www.vox.com/2015/7/28/9050469/watermelon-breeding-paintings',b'A Renaissance painting reveals how breeding changed watermelons'
b'https://hgic.clemson.edu/factsheet/watermelons/',b'Watermelons | Home & Garden Information Center'
b'https://www.snopes.com/fact-check/square-watermelon/',b'Are These Square Watermelons Real?'
b'https://poets.org/poem/watermelons',b'Watermelons by Charles Simic - Poems | Academy of American Poets'
b'https://www.burpee.com/gardenadvicecenter/vegetables/watermelons/all-about-watermelons/article10022.html',"b'How to Grow Watermelon - Gardening Tips & Advice, Seeds ...'"
b'https://www.gardeningknowhow.com/edible/fruits/watermelon/growing-watermelon.htm',b'Growing Watermelons: How To Grow Watermelons'
b'https://aggie-horticulture.tamu.edu/vegetable/watermelon/',b'Watermelons | Vegetable Resources'
b'https://reason.com/2011/11/20/green-on-the-outside-red-on-the-inside/',"b'Green on the Outside, Red on the Inside \xe2\x80\x93 Reason.com'"
b'http://extension.msstate.edu/agriculture/crops/watermelons',b'Watermelons | Mississippi State University Extension Service'
b'https://www.npr.org/sections/thesalt/2012/07/26/157427994/where-did-all-the-watermelon-seeds-go',b'Where Did All The Watermelon Seeds Go? : The Salt : NPR'
b'http://bradfordwatermelons.com/',b'Bradford Watermelons: Home'
b'https://commons.wikimedia.org/wiki/File:Watermelons.jpg',b'File:Watermelons.jpg - Wikimedia Commons'
b'https://www.atlasobscura.com/articles/where-are-watermelons-from',"b""Here's What the Watermelon Was Up to Before It Tasted Good ..."""
b'https://www.urbandictionary.com/define.php?term=watermelon',b'watermelon - Urban Dictionary'
b'https://barryoreilly.com/why-we-carry-watermelons/',"b""Why we carry watermelons? | Barry O'Reilly"""
b'https://www.medicalnewstoday.com/articles/266886',"b'Watermelon: Health benefits, nutrition, and risks'"
b'https://bonnieplants.com/how-to-grow/growing-watermelons/',b'Growing Watermelons - Bonnie Plants'
b'https://treelands.fandom.com/wiki/Watermelon',b'Watermelon | TreeLands Wikia | Fandom'
b'https://www.cavecitywatermelonfestival.com/growers',b'Growers \xe2\x80\x94 Cave City Watermelon Festival'
b'https://www.thisiscolossal.com/2015/07/watermelon-painting-stanchi/',b'A 17th-Century Stanchi Painting Reveals the Rapid Change in ...'
b'https://oldschool.runescape.wiki/w/Watermelon',b'Watermelon - OSRS Wiki'
b'https://www.clinicaltherapeutics.com/article/S0149-2918(13)00814-X/pdf',"b'Acute Coronary Syndromes, Seedless Watermelons, and Colchicine'"
b'https://hyperallergic.com/226096/the-evolution-of-the-watermelon-captured-in-still-lifes/',"b'The Evolution of the Watermelon, Captured in Still Lifes'"
b'https://www.producemarketguide.com/produce/watermelon',b'Watermelon | Produce Market Guide'
b'https://qz.com/106024/lets-get-real-about-seedless-watermelons-they-have-seeds/',"b""Let's get real about seedless watermelons: They have seeds \xe2\x80\x94 Quartz"""
b'https://www.ams.usda.gov/grades-standards/watermelon-grades-and-standards',b'Watermelon Grades and Standards | Agricultural Marketing Service'
b'https://www.deseret.com/article/700259136/Melon-mania--Green-River-produce-just-cant-be-beat.html',"b""Melon mania \xe2\x80\x94 Green River produce just can't be beat - Deseret ..."""
b'https://www.johnnyseeds.com/vegetables/watermelons/',"b""Watermelon Seeds for Planting | Johnny's Selected Seeds"""
b'https://web.extension.illinois.edu/veggies/watermelon.cfm',b'Watermelon - Vegetable Directory - Watch Your Garden Grow ...'
b'https://georgiagrown.com/find-georgia-grown/fruits-vegetables/watermelons/',b'Watermelon farms in Georgia | Georgia Grown'
b'https://www.watermelon.org/the-slice/where-does-seedless-watermelon-come-from/',b'Where does seedless watermelon come from? - Watermelon Board'
b'https://www.agmrc.org/commodities-products/vegetables/watermelon',b'Watermelon | Agricultural Marketing Resource Center'
b'https://www.samsclub.com/p/whole-watermelon/161589',"b""Whole Watermelon - Sam's Club"""
b'https://www.sciencekids.co.nz/sciencefacts/food/watermelons.html',b'Fun Watermelon Facts for Kids - Interesting Information about ...'
b'https://extension.uga.edu/publications/detail.html?number=C1035&title=Home%20Garden%20Watermelon',b'Home Garden Watermelon | UGA Cooperative Extension'
b'http://nebraska.tv/news/local/hy-vee-was-donated-jumbo-watermelons-to-give-away-to-the-public',b'Hy-Vee was donated jumbo watermelons to give away to the public ...'
b'https://www.delish.com/cooking/recipe-ideas/g2883/watermelon-recipes/',b'30+ Easy Watermelon Recipes - Ideas for Best Watermelon Dishes'
b'https://www.hgtv.com/outdoors/flowers-and-plants/fruit/why-you-should-grow-sugar-baby-watermelon',"b""Reasons to Grow 'Sugar Baby' Watermelon | HGTV"""
b'https://www.wonderopolis.org/wonder/how-much-water-is-in-a-watermelon',b'How Much Water Is In a Watermelon? | Wonderopolis'
b'https://www.akc.org/expert-advice/nutrition/can-dogs-eat-watermelon/',b'Can Dogs Eat Watermelon?'
b'https://www.tropicalpermaculture.com/growing-watermelons.html',b'Growing Watermelons - How To Grow Watermelon Plants From Seed'
b'https://www.ncbi.nlm.nih.gov/pubmed/26141130',"b'Origin and emergence of the sweet dessert watermelon, Citrullus ...'"
b'https://www.heb.com/product-detail/fresh-watermelon/583329',b'Fresh Watermelon - Shop Melons at H-E-B'
b'http://www.whatsonmyfood.org/food.jsp?food=WM',"b""Pesticides on Watermelon - What's On My Food"""
b'https://www.whataboutwatermelon.com/index.php/2009/07/how-and-why-square-watermelons-are-made/',b'HOW (AND WHY) SQUARE WATERMELONS ARE MADE - What ...'
b'https://dontstarve.fandom.com/wiki/Watermelon',"b""Watermelon | Don't Starve game Wiki | Fandom"""
b'https://www.nationalgeographic.com/news/2015/08/150821-watermelon-fruit-history-agriculture/',"b'The 5,000-Year Secret History of the Watermelon'"
b'https://www.kroger.com/p/seedless-watermelon/0000000004032',"b'Seedless Watermelon, 1 ct - Kroger'"
b'https://extension.usu.edu/yardandgarden/fruits/watermelon',b'Watermelon'
b'https://unsplash.com/s/photos/watermelon',b'500+ Watermelon Pictures [HQ] | Download Free Images on Unsplash'
b'https://www.verywellfit.com/nutrition-facts-and-watermelon-carbs-1087575',b'Watermelon Nutrition Facts and Health Benefits'
b'https://hnr.k-state.edu/doc/hort-tips/vegetables/Watermelon.pdf',b'WATERMELON'
b'https://www.klkntv.com/hy-vee-gives-away-nearly-2000-watermelons-to-customers-in-kearney/',b'Hy-Vee gives away nearly 2000 watermelons to customers in Kearney'
b'https://www.lewrockwell.com/lrc-blog/why-environmentalist-are-called-watermelons/',"b""Why 'Environmentalists' Are Called 'Watermelons' - LRC Blog"""
b'http://www.thecommentator.com/article/884/review_watermelons_by_james_delingpole',"b'Review: Watermelons, by James Delingpole - The Commentator'"
b'https://www.goodreads.com/book/show/36341193-where-the-watermelons-grow',b'Where the Watermelons Grow by Cindy Baldwin'
b'https://gardeningsolutions.ifas.ufl.edu/plants/edibles/fruits/watermelon.html',"b'Watermelon - Gardening Solutions - University of Florida, Institute of ...'"
